PAIR_ID	n_snippy	n_noref	n_mask
GP-0393	70	65	61
GP-0394	79	73	68
GP-0395	62	57	56
GP-0396	69	63	60
GP-0397	65	59	55
GP-0398	64	59	56
GP-0399	67	62	56
GP-0400	62	57	54
GP-0401	66	61	56
GP-0402	66	60	57
GP-0403	66	60	57
GP-0404	57	52	51
GP-0405	66	60	57
GP-0406	65	59	56
GP-0407	12	3	2
GP-0408	22	13	12
GP-0409	16	8	6
GP-0410	21	11	8
GP-0411	30	19	16
GP-0412	20	10	7
GP-0413	79	68	62
GP-0414	69	62	59
GP-0415	79	68	62
GP-0416	80	69	65
GP-0417	82	70	66
GP-0418	83	74	70
GP-0419	79	68	65
GP-0420	89	77	72
GP-0421	86	75	70
GP-0422	79	68	63
GP-0423	79	68	66
GP-0424	84	72	69
GP-0425	92	81	76
GP-0426	75	66	63
GP-0427	75	64	63
GP-0428	77	65	64
GP-0429	72	62	61
GP-0430	75	64	63
GP-0431	72	61	59
GP-0432	82	70	65
GP-0433	75	64	63
GP-0434	70	40	4
GP-0435	46	20	5
GP-0436	74	48	36
GP-0437	14	1	0
GP-0438	129	116	95
GP-0439	42	20	4
GP-0440	58	37	5
GP-0441	61	32	8
GP-0442	125	112	69
GP-0443	64	51	6
GP-0444	75	62	6
GP-0445	52	38	1
GP-0446	50	38	9
GP-0447	53	39	1
GP-0448	99	86	52
GP-0449	105	92	49
GP-0450	117	104	53
GP-0451	115	102	55
GP-0452	115	102	60
GP-0453	120	107	60
GP-0454	115	102	56
GP-0455	107	94	57
GP-0456	110	97	60
GP-0457	104	91	56
GP-0458	98	87	58
GP-0459	107	95	63
GP-0460	120	107	60
GP-0461	122	109	61
GP-0462	95	84	56
GP-0463	90	79	58
GP-0464	101	89	60
GP-0465	99	88	67
GP-0466	68	60	55
GP-0467	100	90	58
GP-0468	90	77	54
GP-0469	93	81	54
GP-0470	99	86	54
GP-0471	97	85	53
GP-0472	89	78	55
GP-0473	94	83	54
GP-0474	90	77	56
GP-0475	87	74	51
GP-0476	100	87	59
GP-0477	92	80	55
GP-0478	58	39	5
GP-0479	137	119	94
GP-0480	142	97	71
GP-0481	94	42	6
GP-0482	106	53	6
GP-0483	61	11	1
GP-0484	77	26	10
GP-0485	79	25	2
GP-0486	142	89	53
GP-0487	134	84	51
GP-0488	148	95	52
GP-0489	143	89	57
GP-0490	146	93	63
GP-0491	150	97	59
GP-0492	137	85	61
GP-0493	148	98	62
GP-0494	148	94	58
GP-0495	123	73	60
GP-0496	146	95	63
GP-0497	154	100	63
GP-0498	153	101	60
GP-0499	126	73	57
GP-0500	112	66	60
GP-0501	136	82	62
GP-0502	128	83	71
GP-0503	129	75	58
GP-0504	116	67	56
GP-0505	128	75	55
GP-0506	125	72	54
GP-0507	125	72	57
GP-0508	124	73	59
GP-0509	120	69	53
GP-0510	135	86	59
GP-0511	125	72	58
GP-0512	129	105	72
GP-0513	92	68	12
GP-0514	95	72	15
GP-0515	49	29	9
GP-0516	58	36	10
GP-0517	64	41	10
GP-0518	119	95	56
GP-0519	120	98	53
GP-0520	136	112	55
GP-0521	133	109	58
GP-0522	138	114	62
GP-0523	139	115	62
GP-0524	129	106	59
GP-0525	129	106	60
GP-0526	131	109	63
GP-0527	132	108	58
GP-0528	107	87	59
GP-0529	138	114	65
GP-0530	136	112	61
GP-0531	141	117	62
GP-0532	110	87	56
GP-0533	97	76	60
GP-0534	112	90	63
GP-0535	108	89	71
GP-0536	79	62	57
GP-0537	101	80	61
GP-0538	99	78	56
GP-0539	105	82	57
GP-0540	108	86	58
GP-0541	109	85	55
GP-0542	99	78	58
GP-0543	104	82	58
GP-0544	104	82	59
GP-0545	95	73	53
GP-0546	109	85	59
GP-0547	109	85	58
GP-0548	51	20	2
GP-0549	98	50	2
GP-0550	41	20	5
GP-0551	66	44	10
GP-0552	11	5	1
GP-0553	35	23	3
GP-0554	38	20	5
GP-0555	38	20	9
GP-0556	40	26	7
GP-0557	31	18	6
GP-0558	56	46	39
GP-0559	69	16	6
GP-0560	63	13	2
GP-0561	116	95	71
GP-0562	51	31	7
GP-0563	52	31	7
GP-0564	26	6	1
GP-0565	34	13	2
GP-0566	40	19	10
GP-0567	101	79	56
GP-0568	86	67	53
GP-0569	103	81	55
GP-0570	103	81	58
GP-0571	106	84	62
GP-0572	102	80	59
GP-0573	100	79	60
GP-0574	107	87	64
GP-0575	103	81	58
GP-0576	88	69	59
GP-0577	105	84	64
GP-0578	110	88	62
GP-0579	101	82	62
GP-0580	91	70	56
GP-0581	82	65	60
GP-0582	95	75	62
GP-0583	95	77	70
GP-0584	88	68	56
GP-0585	87	67	57
GP-0586	90	69	57
GP-0587	93	72	55
GP-0588	85	64	58
GP-0589	84	65	59
GP-0590	83	64	53
GP-0591	84	66	59
GP-0592	92	71	58
GP-0593	140	127	99
GP-0594	130	116	98
GP-0595	102	71	35
GP-0596	100	69	38
GP-0597	100	70	40
GP-0598	72	47	39
GP-0599	67	41	35
GP-0600	124	99	87
GP-0601	115	90	83
GP-0602	129	100	72
GP-0603	45	14	2
GP-0604	42	18	4
GP-0605	52	38	7
GP-0606	23	12	6
GP-0607	122	109	61
GP-0608	133	121	71
GP-0609	123	109	64
GP-0610	32	17	3
GP-0611	46	23	2
GP-0612	124	106	91
GP-0613	119	101	75
GP-0614	105	87	70
GP-0615	103	87	62
GP-0616	102	88	64
GP-0617	27	9	0
GP-0618	44	23	18
GP-0619	92	72	66
GP-0620	90	68	63
GP-0621	93	72	59
GP-0622	101	47	17
GP-0623	119	71	55
GP-0624	134	79	53
GP-0625	120	64	47
GP-0626	154	94	61
GP-0627	118	83	65
GP-0628	104	72	62
GP-0629	133	104	79
GP-0630	122	93	57
GP-0631	89	80	73
GP-0632	111	99	75
GP-0633	111	98	71
GP-0634	94	82	58
GP-0635	85	72	59
GP-0636	51	37	35
GP-0637	53	39	38
GP-0638	48	34	32
GP-0639	70	56	49
GP-0640	83	72	57
GP-0641	106	91	31
GP-0642	116	101	29
GP-0643	140	124	42
GP-0644	169	153	64
GP-0645	86	71	42
GP-0646	559	543	464
GP-0647	113	98	64
GP-0648	94	79	51
GP-0649	90	74	35
GP-0650	65	50	25
GP-0651	61	47	21
GP-0652	100	84	33
GP-0653	70	11	2
GP-0654	65	38	31
GP-0655	135	97	78
GP-0656	143	103	75
GP-0657	103	63	17
GP-0658	153	113	63
GP-0659	76	39	19
GP-0660	551	512	466
GP-0661	118	84	62
GP-0662	102	65	50
GP-0663	95	59	37
GP-0664	67	36	24
GP-0665	67	32	16
GP-0666	75	36	12
GP-0667	32	11	0
GP-0668	98	66	39
GP-0669	102	73	63
GP-0670	23	21	7
GP-0671	15	10	9
GP-0672	30	26	22
GP-0673	15	10	7
GP-0674	10	5	3
GP-0675	40	35	30
GP-0676	43	38	33
GP-0677	89	84	76
GP-0678	85	79	75
GP-0679	15	10	6
GP-0680	12	7	4
GP-0681	18	12	9
GP-0682	15	10	9
GP-0683	18	13	8
GP-0684	27	22	21
GP-0685	150	139	68
GP-0686	29	17	3
GP-0687	40	30	0
GP-0688	192	181	64
GP-0689	133	121	15
GP-0690	128	119	20
GP-0691	126	116	21
GP-0692	135	125	26
GP-0693	155	143	55
GP-0694	178	166	87
GP-0695	77	65	19
GP-0696	165	156	88
GP-0697	39	27	5
GP-0698	127	115	18
GP-0699	158	146	66
GP-0700	153	142	62
GP-0701	31	14	5
GP-0702	41	25	6
GP-0703	79	61	32
GP-0704	39	22	9
GP-0705	187	172	86
GP-0706	178	161	78
GP-0707	64	46	0
GP-0708	117	100	4
GP-0709	156	141	64
GP-0710	61	44	8
GP-0711	53	36	13
GP-0712	52	37	13
GP-0713	147	131	55
GP-0714	201	186	78
GP-0715	139	121	21
GP-0716	185	168	78
GP-0717	132	114	7
GP-0718	71	55	14
GP-0719	180	165	61
GP-0720	173	157	56
GP-0721	186	169	87
GP-0722	38	26	9
GP-0723	53	41	24
GP-0724	31	17	1
GP-0725	32	19	6
GP-0726	61	50	33
GP-0727	68	54	37
GP-0728	118	105	82
GP-0729	111	97	80
GP-0730	28	15	4
GP-0731	31	18	7
GP-0732	28	16	1
GP-0733	24	11	0
GP-0734	39	25	2
GP-0735	49	35	24
GP-0736	16	3	0
GP-0737	16	3	0
GP-0738	22	2	1
GP-0739	74	70	70
GP-0740	67	62	62
GP-0741	32	23	21
GP-0742	36	28	23
GP-0743	31	23	21
GP-0744	27	19	18
GP-0745	48	39	36
GP-0746	50	41	39
GP-0747	28	22	21
GP-0748	27	20	19
GP-0749	32	25	22
GP-0750	32	24	23
GP-0751	34	25	23
GP-0752	8	1	0
GP-0753	27	8	0
GP-0754	27	10	0
GP-0755	89	62	49
GP-0756	134	103	78
GP-0757	135	103	74
GP-0758	111	79	38
GP-0759	145	112	63
GP-0760	95	63	40
GP-0761	583	550	475
GP-0762	541	508	466
GP-0763	108	75	59
GP-0764	93	59	48
GP-0765	87	54	39
GP-0766	64	33	26
GP-0767	64	30	21
GP-0768	80	46	29
GP-0769	29	9	4
GP-0770	45	34	22
GP-0771	23	11	3
GP-0772	27	18	10
GP-0773	28	17	10
GP-0774	34	23	15
GP-0775	46	35	19
GP-0776	103	91	70
GP-0777	91	79	68
GP-0778	82	66	44
GP-0779	86	70	53
GP-0780	69	52	29
GP-0781	44	27	6
GP-0782	50	33	10
GP-0783	34	19	0
GP-0784	45	27	5
GP-0785	72	55	29
GP-0786	71	48	31
GP-0787	42	22	8
GP-0788	47	24	9
GP-0789	34	11	0
GP-0790	42	18	5
GP-0791	76	54	31
GP-0792	61	47	40
GP-0793	34	20	14
GP-0794	20	7	4
GP-0795	20	6	4
GP-0796	63	49	40
GP-0797	40	11	2
GP-0798	17	6	1
GP-0799	40	12	1
GP-0800	60	46	8
