PAIR_ID	n_snippy	n_noref	n_mask
GP-2323	169	138	79
GP-2324	62	30	5
GP-2325	86	52	8
GP-2326	58	27	1
GP-2327	102	68	2
GP-2328	85	53	25
GP-2329	54	20	8
GP-2330	47	11	1
GP-2331	70	34	24
GP-2332	42	7	0
GP-2333	50	15	5
GP-2334	79	43	32
GP-2335	71	43	36
GP-2336	134	96	80
GP-2337	122	87	77
GP-2338	43	10	3
GP-2339	42	14	7
GP-2340	34	7	1
GP-2341	35	6	1
GP-2342	64	34	23
GP-2343	27	18	0
GP-2344	21	11	0
GP-2345	44	29	2
GP-2346	82	55	22
GP-2347	67	46	23
GP-2348	55	28	0
GP-2349	61	35	20
GP-2350	73	46	18
GP-2351	89	63	34
GP-2352	85	58	38
GP-2353	57	34	22
GP-2354	62	36	19
GP-2355	57	32	23
GP-2356	60	35	24
GP-2357	76	49	24
GP-2358	53	22	4
GP-2359	126	100	34
GP-2360	46	22	0
GP-2361	116	88	35
GP-2362	44	17	1
GP-2363	63	44	2
GP-2364	125	100	86
GP-2365	98	73	55
GP-2366	96	68	54
GP-2367	111	83	61
GP-2368	118	90	64
GP-2369	95	69	58
GP-2370	94	68	58
GP-2371	96	69	59
GP-2372	103	75	58
GP-2373	84	57	45
GP-2374	77	48	37
GP-2375	88	59	44
GP-2376	73	45	26
GP-2377	83	53	36
GP-2378	106	79	65
GP-2379	89	60	44
GP-2380	90	62	43
GP-2381	82	54	39
GP-2382	84	55	42
GP-2383	92	64	43
GP-2384	93	64	49
GP-2385	82	55	40
GP-2386	78	53	41
GP-2387	89	60	48
GP-2388	87	60	44
GP-2389	40	12	0
GP-2390	79	51	39
GP-2391	75	52	44
GP-2392	84	58	45
GP-2393	86	61	53
GP-2394	71	49	44
GP-2395	82	56	42
GP-2396	77	51	38
GP-2397	102	77	68
GP-2398	66	38	30
GP-2399	74	45	37
GP-2400	71	48	40
GP-2401	98	72	65
GP-2402	77	52	41
GP-2403	76	47	37
GP-2404	80	52	40
GP-2405	103	77	65
GP-2406	49	8	0
GP-2407	107	75	57
GP-2408	98	65	39
GP-2409	96	65	38
GP-2410	127	93	61
GP-2411	124	95	62
GP-2412	98	64	56
GP-2413	109	73	57
GP-2414	108	72	59
GP-2415	112	77	58
GP-2416	58	26	7
GP-2417	83	50	22
GP-2418	72	40	18
GP-2419	91	60	32
GP-2420	86	53	21
GP-2421	78	43	13
GP-2422	59	26	6
GP-2423	66	32	5
GP-2424	58	23	4
GP-2425	58	25	4
GP-2426	105	72	43
GP-2427	80	46	31
GP-2428	72	37	13
GP-2429	47	11	4
GP-2430	89	56	32
GP-2431	61	28	6
GP-2432	108	73	40
GP-2433	46	11	2
GP-2434	81	45	41
GP-2435	85	49	38
GP-2436	88	58	53
GP-2437	46	20	17
GP-2438	53	17	5
GP-2439	46	11	0
GP-2440	59	26	12
GP-2441	79	49	35
GP-2442	52	20	10
GP-2443	52	21	13
GP-2444	47	14	4
GP-2445	47	13	6
GP-2446	54	19	11
GP-2447	83	50	38
GP-2448	43	11	6
GP-2449	151	116	60
GP-2450	119	86	43
GP-2451	160	126	72
GP-2452	78	44	5
GP-2453	107	72	27
GP-2454	104	70	22
GP-2455	113	80	34
GP-2456	116	80	25
GP-2457	106	71	18
GP-2458	97	61	8
GP-2459	93	58	8
GP-2460	92	56	6
GP-2461	87	51	2
GP-2462	132	100	47
GP-2463	123	89	35
GP-2464	105	69	18
GP-2465	67	34	2
GP-2466	114	79	34
GP-2467	91	56	4
GP-2468	158	123	70
GP-2469	77	44	6
GP-2470	106	75	44
GP-2471	109	78	40
GP-2472	106	76	54
GP-2473	51	26	21
GP-2474	64	31	3
GP-2475	66	36	6
GP-2476	84	50	17
GP-2477	113	78	37
GP-2478	88	53	14
GP-2479	93	59	18
GP-2480	64	32	1
GP-2481	67	33	3
GP-2482	73	42	14
GP-2483	135	103	67
GP-2484	76	44	6
GP-3001	203	197	143
GP-3002	150	137	118
GP-3003	152	134	118
GP-3004	191	162	122
GP-3005	232	199	126
GP-3006	140	112	93
GP-3007	119	106	89
GP-3008	384	360	288
GP-3009	144	89	87
GP-3010	157	98	91
GP-3011	229	172	166
GP-3012	329	279	275
GP-3013	206	185	167
GP-3014	101	95	87
GP-3015	157	138	135
GP-3016	165	146	91
GP-3017	61	53	39
GP-3018	20	20	0
GP-3019	6	5	0
GP-3020	138	138	134
GP-3021	44	40	38
GP-3022	153	153	147
GP-3023	42	18	8
GP-3024	60	38	7
GP-3025	183	172	139
GP-3026	928	928	899
GP-3027	165	163	161
GP-3028	905	901	856
GP-3029	184	182	157
GP-3030	165	159	150
GP-3031	184	183	178
GP-3032	208	176	171
GP-3033	74	71	68
GP-3034	71	69	68
GP-3035	151	126	115
GP-3036	151	126	115
GP-3037	153	134	109
GP-3038	144	120	66
GP-3039	141	116	65
GP-3040	159	146	113
