well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id
A03,18304,12,A,03,exp190923,20000,3,exp190923_3_A03
A04,19147,12,A,04,exp190923,20000,3,exp190923_3_A04
A05,17240,12,A,05,exp190923,20000,3,exp190923_3_A05
A06,19376,12,A,06,exp190923,20000,3,exp190923_3_A06
A07,18540,12,A,07,exp190923,20000,3,exp190923_3_A07
A08,19028,12,A,08,exp190923,20000,3,exp190923_3_A08
A09,18890,12,A,09,exp190923,20000,3,exp190923_3_A09
A10,18175,12,A,10,exp190923,20000,3,exp190923_3_A10
A11,18588,12,A,11,exp190923,20000,3,exp190923_3_A11
A12,19765,12,A,12,exp190923,20000,3,exp190923_3_A12
B01,19346,12,B,01,exp190923,20000,3,exp190923_3_B01
B02,19813,12,B,02,exp190923,20000,3,exp190923_3_B02
B03,18800,12,B,03,exp190923,20000,3,exp190923_3_B03
B04,18298,12,B,04,exp190923,20000,3,exp190923_3_B04
B05,18937,12,B,05,exp190923,20000,3,exp190923_3_B05
B06,18245,12,B,06,exp190923,20000,3,exp190923_3_B06
B07,19440,12,B,07,exp190923,20000,3,exp190923_3_B07
B08,18252,12,B,08,exp190923,20000,3,exp190923_3_B08
B09,18588,12,B,09,exp190923,20000,3,exp190923_3_B09
B10,17249,12,B,10,exp190923,20000,3,exp190923_3_B10
B11,19456,12,B,11,exp190923,20000,3,exp190923_3_B11
B12,19539,12,B,12,exp190923,20000,3,exp190923_3_B12
C01,19144,12,C,01,exp190923,20000,3,exp190923_3_C01
C02,19747,12,C,02,exp190923,20000,3,exp190923_3_C02
C03,18230,12,C,03,exp190923,20000,3,exp190923_3_C03
C04,17976,12,C,04,exp190923,20000,3,exp190923_3_C04
C05,18611,12,C,05,exp190923,20000,3,exp190923_3_C05
C06,18692,12,C,06,exp190923,20000,3,exp190923_3_C06
C07,19321,12,C,07,exp190923,20000,3,exp190923_3_C07
C08,18338,12,C,08,exp190923,20000,3,exp190923_3_C08
C09,18344,12,C,09,exp190923,20000,3,exp190923_3_C09
C10,18958,12,C,10,exp190923,20000,3,exp190923_3_C10
C11,18697,12,C,11,exp190923,20000,3,exp190923_3_C11
C12,18593,12,C,12,exp190923,20000,3,exp190923_3_C12
D01,20336,12,D,01,exp190923,20000,3,exp190923_3_D01
D02,18503,12,D,02,exp190923,20000,3,exp190923_3_D02
D03,18491,12,D,03,exp190923,20000,3,exp190923_3_D03
D04,17662,12,D,04,exp190923,20000,3,exp190923_3_D04
D05,17949,12,D,05,exp190923,20000,3,exp190923_3_D05
D06,18725,12,D,06,exp190923,20000,3,exp190923_3_D06
D07,18728,12,D,07,exp190923,20000,3,exp190923_3_D07
D08,19098,12,D,08,exp190923,20000,3,exp190923_3_D08
D09,18525,12,D,09,exp190923,20000,3,exp190923_3_D09
D10,17012,12,D,10,exp190923,20000,3,exp190923_3_D10
D11,19096,12,D,11,exp190923,20000,3,exp190923_3_D11
D12,18272,12,D,12,exp190923,20000,3,exp190923_3_D12
E01,18684,12,E,01,exp190923,20000,3,exp190923_3_E01
E02,18034,12,E,02,exp190923,20000,3,exp190923_3_E02
E03,18195,12,E,03,exp190923,20000,3,exp190923_3_E03
E04,17922,12,E,04,exp190923,20000,3,exp190923_3_E04
E05,18112,12,E,05,exp190923,20000,3,exp190923_3_E05
E06,18322,12,E,06,exp190923,20000,3,exp190923_3_E06
E07,17254,12,E,07,exp190923,20000,3,exp190923_3_E07
E08,17832,12,E,08,exp190923,20000,3,exp190923_3_E08
E09,18536,12,E,09,exp190923,20000,3,exp190923_3_E09
E10,17777,12,E,10,exp190923,20000,3,exp190923_3_E10
E11,18773,12,E,11,exp190923,20000,3,exp190923_3_E11
E12,18672,12,E,12,exp190923,20000,3,exp190923_3_E12
F01,18493,12,F,01,exp190923,20000,3,exp190923_3_F01
F02,18071,12,F,02,exp190923,20000,3,exp190923_3_F02
F03,18850,12,F,03,exp190923,20000,3,exp190923_3_F03
F04,18036,12,F,04,exp190923,20000,3,exp190923_3_F04
F05,18552,12,F,05,exp190923,20000,3,exp190923_3_F05
F06,18029,12,F,06,exp190923,20000,3,exp190923_3_F06
F07,18736,12,F,07,exp190923,20000,3,exp190923_3_F07
F08,17886,12,F,08,exp190923,20000,3,exp190923_3_F08
F09,18055,12,F,09,exp190923,20000,3,exp190923_3_F09
