well,sample,wave_length,f_signal_endpoint,experiment,plate
H08,Sample X92,WL535,26568,exp190831,2
H09,Sample X93,WL493,36517,exp190831,2
H09,Sample X93,WL535,22332,exp190831,2
H10,Sample X94,WL493,51214,exp190831,2
H10,Sample X94,WL535,54077,exp190831,2
H11,Sample X95,WL493,50238,exp190831,2
H11,Sample X95,WL535,52586,exp190831,2
H12,Sample X96,WL493,63025,exp190831,2
H12,Sample X96,WL535,43912,exp190831,2
A01,Sample X1,WL493,24425,exp190905,2
A01,Sample X1,WL535,27194,exp190905,2
A02,Sample X2,WL493,24437,exp190905,2
A02,Sample X2,WL535,26939,exp190905,2
A03,Sample X3,WL493,25861,exp190905,2
A03,Sample X3,WL535,27497,exp190905,2
A04,Sample X4,WL493,23450,exp190905,2
A04,Sample X4,WL535,26949,exp190905,2
A05,Sample X5,WL493,22860,exp190905,2
A05,Sample X5,WL535,26835,exp190905,2
A06,Sample X6,WL493,25195,exp190905,2
A06,Sample X6,WL535,26562,exp190905,2
A07,Sample X7,WL493,28902,exp190905,2
A07,Sample X7,WL535,28192,exp190905,2
A08,Sample X8,WL493,26595,exp190905,2
A08,Sample X8,WL535,27388,exp190905,2
A09,Sample X9,WL493,26939,exp190905,2
A09,Sample X9,WL535,26968,exp190905,2
A10,Sample X10,WL493,29393,exp190905,2
A10,Sample X10,WL535,28334,exp190905,2
A11,Sample X11,WL493,25411,exp190905,2
A11,Sample X11,WL535,27567,exp190905,2
A12,Sample X12,WL493,26387,exp190905,2
A12,Sample X12,WL535,27806,exp190905,2
B01,Sample X13,WL493,23323,exp190905,2
B01,Sample X13,WL535,26330,exp190905,2
B02,Sample X14,WL493,24620,exp190905,2
B02,Sample X14,WL535,26997,exp190905,2
B03,Sample X15,WL493,23484,exp190905,2
B03,Sample X15,WL535,26896,exp190905,2
B04,Sample X16,WL493,23067,exp190905,2
B04,Sample X16,WL535,26376,exp190905,2
B05,Sample X17,WL493,30503,exp190905,2
