inoculum_OD,well,inoculum_OD_blank_normalised,experiment,plate
0.375,E05,TRUE,310909,2
0.344,E06,TRUE,310909,2
9.33333e-4,E07,TRUE,310909,2
0.267,E08,TRUE,310909,2
0.405,E09,TRUE,310909,2
0.541,E10,TRUE,310909,2
0.462,E11,TRUE,310909,2
0.445,E12,TRUE,310909,2
0.447,F01,TRUE,310909,2
0.359,F02,TRUE,310909,2
0.31,F03,TRUE,310909,2
0.362,F04,TRUE,310909,2
0.296,F05,TRUE,310909,2
0.283,F06,TRUE,310909,2
0.321,F07,TRUE,310909,2
0.349,F08,TRUE,310909,2
0.365,F09,TRUE,310909,2
0.367,F10,TRUE,310909,2
0.388,F11,TRUE,310909,2
0.38,F12,TRUE,310909,2
0.418,G01,TRUE,310909,2
0.363,G02,TRUE,310909,2
0.471,G03,TRUE,310909,2
0.507,G04,TRUE,310909,2
0.327,G05,TRUE,310909,2
0.271,G06,TRUE,310909,2
0.382,G07,TRUE,310909,2
0.345,G08,TRUE,310909,2
0.403,G09,TRUE,310909,2
0.421,G10,TRUE,310909,2
0.466,G11,TRUE,310909,2
0.543,G12,TRUE,310909,2
0.007,H01,TRUE,310909,2
0.664,H02,TRUE,310909,2
0.572,H03,TRUE,310909,2
0.51,H04,TRUE,310909,2
0.431,H05,TRUE,310909,2
0.341,H06,TRUE,310909,2
0.376,H07,TRUE,310909,2
0.416,H08,TRUE,310909,2
0.392,H09,TRUE,310909,2
