sample_id,well_id
BPH2715,exp191115_1_F03
BPH2715,exp191115_1_F07
BPH2715,exp191115_1_G06
BPH2715,exp191116_1_F03
BPH2715,exp191116_1_F07
BPH2715,exp191116_1_G06
BPH2716,exp191115_1_A10
BPH2716,exp191115_1_F10
BPH2716,exp191115_1_G09
BPH2716,exp191116_1_A10
BPH2716,exp191116_1_F10
BPH2716,exp191116_1_G09
BPH2717,exp191115_1_A12
BPH2717,exp191115_1_D11
BPH2717,exp191115_1_H08
BPH2717,exp191116_1_A12
BPH2717,exp191116_1_D11
BPH2717,exp191116_1_H08
BPH2718,exp191115_1_C08
BPH2718,exp191115_1_C09
BPH2718,exp191115_1_G12
BPH2718,exp191116_1_C08
BPH2718,exp191116_1_C09
BPH2718,exp191116_1_G12
BPH2719,exp191115_1_A09
BPH2719,exp191115_1_C11
BPH2719,exp191115_1_D03
BPH2719,exp191116_1_A09
BPH2719,exp191116_1_C11
BPH2719,exp191116_1_D03
BPH2720,exp191115_1_E03
BPH2720,exp191115_1_E12
BPH2720,exp191115_1_F02
BPH2720,exp191116_1_E03
BPH2720,exp191116_1_E12
BPH2720,exp191116_1_F02
BPH2721,exp191115_1_C06
BPH2721,exp191115_1_E02
BPH2721,exp191115_1_E06
BPH2721,exp191116_1_C06
BPH2721,exp191116_1_E02
BPH2721,exp191116_1_E06
BPH2722,exp191115_1_C03
BPH2722,exp191115_1_F04
BPH2722,exp191116_1_C03
BPH2722,exp191116_1_F04
BPH2723,exp191115_1_B10
BPH2723,exp191115_1_D02
BPH2723,exp191115_1_D12
BPH2723,exp191116_1_B10
BPH2723,exp191116_1_D02
BPH2723,exp191116_1_D12
BPH2724,exp191115_1_B01
BPH2724,exp191115_1_B03
BPH2724,exp191115_1_C04
BPH2724,exp191116_1_B01
BPH2724,exp191116_1_B03
BPH2724,exp191116_1_C04
BPH2725,exp191115_1_B05
BPH2725,exp191115_1_F01
BPH2725,exp191115_1_G02
BPH2725,exp191116_1_B05
BPH2725,exp191116_1_F01
BPH2725,exp191116_1_G02
BPH2726,exp191115_1_F05
BPH2726,exp191115_1_F06
BPH2726,exp191115_1_G05
BPH2726,exp191116_1_F05
BPH2726,exp191116_1_F06
BPH2726,exp191116_1_G05
BPH2727,exp191115_1_A08
BPH2727,exp191115_1_D01
BPH2727,exp191115_1_F12
BPH2727,exp191116_1_A08
BPH2727,exp191116_1_D01
BPH2727,exp191116_1_F12
BPH2728,exp190831_2_A03
BPH2728,exp190831_2_D07
BPH2728,exp190831_2_G11
BPH2728,exp191107_2_A03
BPH2728,exp191107_2_D07
BPH2728,exp191107_2_G11
BPH2729,exp190831_2_C10
BPH2729,exp190831_2_H07
BPH2729,exp190831_2_H09
BPH2729,exp191107_2_C10
BPH2729,exp191107_2_H07
BPH2729,exp191107_2_H09
BPH2730,exp190831_2_B02
BPH2730,exp190831_2_G03
BPH2730,exp190831_2_H03
BPH2730,exp191107_2_B02
BPH2730,exp191107_2_G03
BPH2730,exp191107_2_H03
BPH2731,exp190831_2_E08
BPH2731,exp190831_2_F08
BPH2731,exp190831_2_G08
BPH2731,exp191107_2_E08
BPH2731,exp191107_2_F08
BPH2731,exp191107_2_G08
BPH2732,exp190831_2_A07
BPH2732,exp190831_2_E11
BPH2732,exp190831_2_H04
BPH2732,exp191107_2_A07
BPH2732,exp191107_2_E11
BPH2732,exp191107_2_H04
BPH2733,exp190831_2_D09
BPH2733,exp190831_2_E09
BPH2733,exp190831_2_F09
BPH2733,exp191107_2_D09
BPH2733,exp191107_2_E09
BPH2733,exp191107_2_F09
BPH2734,exp190831_2_A11
BPH2734,exp190831_2_C01
BPH2734,exp190831_2_H06
BPH2734,exp191107_2_A11
BPH2734,exp191107_2_C01
BPH2734,exp191107_2_H06
BPH2735,exp190831_2_D04
BPH2735,exp190831_2_D10
BPH2735,exp190831_2_E04
BPH2735,exp191107_2_D04
BPH2735,exp191107_2_D10
BPH2735,exp191107_2_E04
BPH2736,exp190831_2_C07
BPH2736,exp190831_2_G10
BPH2736,exp190831_2_H05
BPH2736,exp191107_2_C07
BPH2736,exp191107_2_G10
BPH2736,exp191107_2_H05
BPH2737,exp190831_2_C02
BPH2737,exp190831_2_G04
BPH2737,exp190831_2_H02
BPH2737,exp191107_2_C02
BPH2737,exp191107_2_G04
BPH2737,exp191107_2_H02
BPH2738,exp190831_2_B08
BPH2738,exp190831_2_D05
BPH2738,exp190831_2_G07
BPH2738,exp191107_2_B08
BPH2738,exp191107_2_D05
BPH2738,exp191107_2_G07
BPH2739,exp190831_2_A04
BPH2739,exp190831_2_B09
BPH2739,exp190831_2_E10
BPH2739,exp191107_2_A04
BPH2739,exp191107_2_B09
BPH2739,exp191107_2_E10
BPH2740,exp190831_2_A02
BPH2740,exp190831_2_B04
BPH2740,exp190831_2_B12
BPH2740,exp191107_2_A02
BPH2740,exp191107_2_B04
BPH2740,exp191107_2_B12
BPH2741,exp190831_2_B11
BPH2741,exp190831_2_C05
BPH2741,exp190831_2_G01
BPH2741,exp191107_2_B11
BPH2741,exp191107_2_C05
BPH2741,exp191107_2_G01
BPH2742,exp190831_2_A06
BPH2742,exp190831_2_B07
BPH2742,exp190831_2_D08
BPH2742,exp191107_2_A06
BPH2742,exp191107_2_B07
BPH2742,exp191107_2_D08
BPH2743,exp190831_2_F03
BPH2743,exp190831_2_F07
BPH2743,exp190831_2_G06
BPH2743,exp191107_2_F03
BPH2743,exp191107_2_F07
BPH2743,exp191107_2_G06
BPH2744,exp190831_2_A10
BPH2744,exp190831_2_F10
BPH2744,exp190831_2_G09
BPH2744,exp191107_2_A10
BPH2744,exp191107_2_F10
BPH2744,exp191107_2_G09
BPH2745,exp190831_2_A12
BPH2745,exp190831_2_D11
BPH2745,exp190831_2_H08
BPH2745,exp191107_2_A12
BPH2745,exp191107_2_D11
BPH2745,exp191107_2_H08
BPH2746,exp190831_2_C08
BPH2746,exp190831_2_C09
BPH2746,exp190831_2_G12
BPH2746,exp191107_2_C08
BPH2746,exp191107_2_C09
BPH2746,exp191107_2_G12
BPH2747,exp190831_2_A09
BPH2747,exp190831_2_C11
BPH2747,exp190831_2_D03
BPH2747,exp191107_2_A09
BPH2747,exp191107_2_C11
BPH2747,exp191107_2_D03
BPH2748,exp190831_2_E03
BPH2748,exp190831_2_E12
BPH2748,exp190831_2_F02
BPH2748,exp191107_2_E03
BPH2748,exp191107_2_E12
BPH2748,exp191107_2_F02
BPH2749,exp190831_2_C06
BPH2749,exp190831_2_E02
BPH2749,exp190831_2_E06
BPH2749,exp191107_2_C06
BPH2749,exp191107_2_E02
BPH2749,exp191107_2_E06
BPH2750,exp190831_2_A01
BPH2750,exp190831_2_C03
BPH2750,exp190831_2_F04
BPH2750,exp191107_2_C03
BPH2750,exp191107_2_F04
BPH2751,exp190831_2_B10
BPH2751,exp190831_2_D02
BPH2751,exp190831_2_D12
BPH2751,exp191107_2_B10
BPH2751,exp191107_2_D02
BPH2751,exp191107_2_D12
BPH2752,exp190831_2_B01
BPH2752,exp190831_2_B03
BPH2752,exp190831_2_C04
BPH2752,exp191107_2_B01
BPH2752,exp191107_2_B03
BPH2752,exp191107_2_C04
BPH2753,exp190831_2_B05
BPH2753,exp190831_2_F01
BPH2753,exp190831_2_G02
BPH2753,exp191107_2_B05
BPH2753,exp191107_2_F01
BPH2753,exp191107_2_G02
BPH2754,exp190831_2_F05
BPH2754,exp190831_2_F06
BPH2754,exp190831_2_G05
BPH2754,exp191107_2_F05
BPH2754,exp191107_2_F06
BPH2754,exp191107_2_G05
BPH2755,exp190831_2_A08
BPH2755,exp190831_2_D01
BPH2755,exp190831_2_F12
BPH2755,exp191107_2_A08
BPH2755,exp191107_2_D01
BPH2755,exp191107_2_F12
BPH2756,exp191109_3_A03
BPH2756,exp191109_3_D07
BPH2756,exp191109_3_G11
BPH2756,exp191111_3_A03
BPH2756,exp191111_3_D07
BPH2756,exp191111_3_G11
BPH2757,exp191109_3_C10
BPH2757,exp191109_3_H07
BPH2757,exp191109_3_H09
BPH2757,exp191111_3_C10
BPH2757,exp191111_3_H07
BPH2757,exp191111_3_H09
BPH2758,exp191109_3_B02
BPH2758,exp191109_3_G03
BPH2758,exp191109_3_H03
BPH2758,exp191111_3_B02
BPH2758,exp191111_3_G03
BPH2758,exp191111_3_H03
BPH2759,exp191109_3_E08
BPH2759,exp191109_3_F08
BPH2759,exp191109_3_G08
BPH2759,exp191111_3_E08
BPH2759,exp191111_3_F08
BPH2759,exp191111_3_G08
BPH2760,exp191109_3_A07
BPH2760,exp191109_3_E11
BPH2760,exp191109_3_H04
BPH2760,exp191111_3_A07
BPH2760,exp191111_3_E11
BPH2760,exp191111_3_H04
BPH2761,exp191109_3_D09
BPH2761,exp191109_3_E09
BPH2761,exp191109_3_F09
BPH2761,exp191111_3_D09
BPH2761,exp191111_3_E09
BPH2761,exp191111_3_F09
BPH2762,exp191109_3_A11
BPH2762,exp191109_3_C01
BPH2762,exp191109_3_H06
BPH2762,exp191111_3_A11
BPH2762,exp191111_3_C01
BPH2762,exp191111_3_H06
BPH2763,exp191109_3_D04
BPH2763,exp191109_3_D10
BPH2763,exp191109_3_E04
BPH2763,exp191111_3_D04
BPH2763,exp191111_3_D10
BPH2763,exp191111_3_E04
BPH2764,exp191109_3_C07
BPH2764,exp191109_3_G10
BPH2764,exp191109_3_H05
BPH2764,exp191111_3_C07
BPH2764,exp191111_3_G10
BPH2764,exp191111_3_H05
BPH2765,exp191109_3_C02
BPH2765,exp191109_3_G04
BPH2765,exp191109_3_H02
BPH2765,exp191111_3_C02
BPH2765,exp191111_3_G04
BPH2765,exp191111_3_H02
BPH2766,exp191109_3_B08
BPH2766,exp191109_3_D05
BPH2766,exp191109_3_G07
BPH2766,exp191111_3_B08
BPH2766,exp191111_3_D05
BPH2766,exp191111_3_G07
BPH2767,exp191109_3_A04
BPH2767,exp191109_3_B09
BPH2767,exp191109_3_E10
BPH2767,exp191111_3_A04
BPH2767,exp191111_3_B09
BPH2767,exp191111_3_E10
BPH2768,exp191109_3_A02
BPH2768,exp191109_3_B04
BPH2768,exp191109_3_B12
BPH2768,exp191111_3_A02
BPH2768,exp191111_3_B04
BPH2768,exp191111_3_B12
BPH2769,exp191109_3_B11
BPH2769,exp191109_3_C05
BPH2769,exp191109_3_G01
BPH2769,exp191111_3_B11
BPH2769,exp191111_3_C05
BPH2769,exp191111_3_G01
BPH2770,exp191109_3_A06
BPH2770,exp191109_3_B07
BPH2770,exp191109_3_D08
BPH2770,exp191111_3_A06
BPH2770,exp191111_3_B07
BPH2770,exp191111_3_D08
BPH2771,exp191109_3_F03
BPH2771,exp191109_3_F07
BPH2771,exp191109_3_G06
BPH2771,exp191111_3_F03
BPH2771,exp191111_3_F07
BPH2771,exp191111_3_G06
BPH2773,exp191109_3_A10
BPH2773,exp191109_3_F10
BPH2773,exp191109_3_G09
BPH2773,exp191111_3_A10
BPH2773,exp191111_3_F10
BPH2773,exp191111_3_G09
BPH2774,exp191109_3_A12
BPH2774,exp191109_3_D11
BPH2774,exp191109_3_H08
BPH2774,exp191111_3_A12
BPH2774,exp191111_3_D11
BPH2774,exp191111_3_H08
BPH2775,exp191109_3_C08
BPH2775,exp191109_3_C09
BPH2775,exp191109_3_G12
BPH2775,exp191111_3_C08
BPH2775,exp191111_3_C09
BPH2775,exp191111_3_G12
BPH2776,exp191109_3_A09
BPH2776,exp191109_3_C11
BPH2776,exp191109_3_D03
BPH2776,exp191111_3_A09
BPH2776,exp191111_3_C11
BPH2776,exp191111_3_D03
BPH2777,exp191109_3_E03
BPH2777,exp191109_3_E12
BPH2777,exp191109_3_F02
BPH2777,exp191111_3_E03
BPH2777,exp191111_3_E12
BPH2777,exp191111_3_F02
BPH2778,exp191109_3_C06
BPH2778,exp191109_3_E02
BPH2778,exp191109_3_E06
BPH2778,exp191111_3_C06
BPH2778,exp191111_3_E02
BPH2778,exp191111_3_E06
BPH2779,exp191109_3_C03
BPH2779,exp191109_3_F04
BPH2779,exp191111_3_C03
BPH2779,exp191111_3_F04
BPH2780,exp191109_3_B10
BPH2780,exp191109_3_D02
BPH2780,exp191109_3_D12
BPH2780,exp191111_3_B10
BPH2780,exp191111_3_D02
BPH2780,exp191111_3_D12
BPH2781,exp191109_3_B01
BPH2781,exp191109_3_B03
BPH2781,exp191109_3_C04
BPH2781,exp191111_3_B01
BPH2781,exp191111_3_B03
BPH2781,exp191111_3_C04
BPH2782,exp191109_3_B05
BPH2782,exp191109_3_F01
BPH2782,exp191109_3_G02
BPH2782,exp191111_3_B05
BPH2782,exp191111_3_F01
BPH2782,exp191111_3_G02
BPH2783,exp191109_3_F05
BPH2783,exp191109_3_F06
BPH2783,exp191109_3_G05
BPH2783,exp191111_3_F05
BPH2783,exp191111_3_F06
BPH2783,exp191111_3_G05
BPH2784,exp191109_3_A08
BPH2784,exp191109_3_D01
BPH2784,exp191109_3_F12
BPH2784,exp191111_3_A08
BPH2784,exp191111_3_D01
BPH2784,exp191111_3_F12
BPH2785,exp191120_4_A03
BPH2785,exp191120_4_D07
BPH2785,exp191120_4_G11
BPH2785,exp191121_4_A03
BPH2785,exp191121_4_D07
BPH2785,exp191121_4_G11
BPH2786,exp191120_4_C10
BPH2786,exp191120_4_H07
BPH2786,exp191120_4_H09
BPH2786,exp191121_4_C10
BPH2786,exp191121_4_H07
BPH2786,exp191121_4_H09
BPH2787,exp191120_4_B02
BPH2787,exp191120_4_G03
BPH2787,exp191120_4_H03
BPH2787,exp191121_4_B02
BPH2787,exp191121_4_G03
BPH2787,exp191121_4_H03
BPH2788,exp191120_4_E08
BPH2788,exp191120_4_F08
BPH2788,exp191120_4_G08
BPH2788,exp191121_4_E08
BPH2788,exp191121_4_F08
BPH2788,exp191121_4_G08
BPH2789,exp191120_4_A07
BPH2789,exp191120_4_E11
BPH2789,exp191120_4_H04
BPH2789,exp191121_4_A07
BPH2789,exp191121_4_E11
BPH2789,exp191121_4_H04
BPH2790,exp191120_4_D09
BPH2790,exp191120_4_E09
BPH2790,exp191120_4_F09
BPH2790,exp191121_4_D09
BPH2790,exp191121_4_E09
BPH2790,exp191121_4_F09
BPH2791,exp191120_4_A11
BPH2791,exp191120_4_C01
BPH2791,exp191120_4_H06
BPH2791,exp191121_4_A11
BPH2791,exp191121_4_C01
BPH2791,exp191121_4_H06
BPH2792,exp191120_4_D04
BPH2792,exp191120_4_D10
BPH2792,exp191120_4_E04
BPH2792,exp191121_4_D04
BPH2792,exp191121_4_D10
BPH2792,exp191121_4_E04
BPH2793,exp191120_4_C07
BPH2793,exp191120_4_G10
BPH2793,exp191120_4_H05
BPH2793,exp191121_4_C07
BPH2793,exp191121_4_G10
BPH2793,exp191121_4_H05
BPH2794,exp191120_4_C02
BPH2794,exp191120_4_G04
BPH2794,exp191120_4_H02
BPH2794,exp191121_4_C02
BPH2794,exp191121_4_G04
BPH2794,exp191121_4_H02
BPH2795,exp191120_4_B08
BPH2795,exp191120_4_D05
BPH2795,exp191120_4_G07
BPH2795,exp191121_4_B08
BPH2795,exp191121_4_D05
BPH2795,exp191121_4_G07
BPH2796,exp191120_4_A04
BPH2796,exp191120_4_B09
BPH2796,exp191120_4_E10
BPH2796,exp191121_4_A04
BPH2796,exp191121_4_B09
BPH2796,exp191121_4_E10
BPH2797,exp191120_4_A02
BPH2797,exp191120_4_B04
BPH2797,exp191120_4_B12
BPH2797,exp191121_4_A02
BPH2797,exp191121_4_B04
BPH2797,exp191121_4_B12
BPH2798,exp191120_4_B11
BPH2798,exp191120_4_C05
BPH2798,exp191120_4_G01
BPH2798,exp191121_4_B11
BPH2798,exp191121_4_C05
BPH2798,exp191121_4_G01
BPH2799,exp191120_4_A06
BPH2799,exp191120_4_B07
BPH2799,exp191120_4_D08
BPH2799,exp191121_4_A06
BPH2799,exp191121_4_B07
BPH2799,exp191121_4_D08
BPH2800,exp191120_4_F03
BPH2800,exp191120_4_F07
BPH2800,exp191120_4_G06
BPH2800,exp191121_4_F03
BPH2800,exp191121_4_F07
BPH2800,exp191121_4_G06
BPH2801,exp191120_4_A10
BPH2801,exp191120_4_F10
BPH2801,exp191120_4_G09
BPH2801,exp191121_4_A10
BPH2801,exp191121_4_F10
BPH2801,exp191121_4_G09
BPH2802,exp191120_4_A12
BPH2802,exp191120_4_D11
BPH2802,exp191120_4_H08
BPH2802,exp191121_4_A12
BPH2802,exp191121_4_D11
BPH2802,exp191121_4_H08
BPH2803,exp191120_4_C08
BPH2803,exp191120_4_C09
BPH2803,exp191120_4_G12
BPH2803,exp191121_4_C08
BPH2803,exp191121_4_C09
BPH2803,exp191121_4_G12
BPH2804,exp191120_4_A09
BPH2804,exp191120_4_C11
BPH2804,exp191120_4_D03
BPH2804,exp191121_4_A09
BPH2804,exp191121_4_C11
BPH2804,exp191121_4_D03
BPH2805,exp191120_4_E03
BPH2805,exp191120_4_E12
BPH2805,exp191120_4_F02
BPH2805,exp191121_4_E03
BPH2805,exp191121_4_E12
BPH2805,exp191121_4_F02
BPH2806,exp191120_4_C06
BPH2806,exp191120_4_E02
BPH2806,exp191120_4_E06
BPH2806,exp191121_4_C06
BPH2806,exp191121_4_E02
BPH2806,exp191121_4_E06
BPH2807,exp191120_4_C03
BPH2807,exp191120_4_F04
BPH2807,exp191121_4_C03
BPH2807,exp191121_4_F04
BPH2808,exp191120_4_B10
BPH2808,exp191120_4_D02
BPH2808,exp191120_4_D12
BPH2808,exp191121_4_B10
BPH2808,exp191121_4_D02
BPH2808,exp191121_4_D12
BPH2809,exp191120_4_B01
BPH2809,exp191120_4_B03
BPH2809,exp191120_4_C04
BPH2809,exp191121_4_B01
BPH2809,exp191121_4_B03
BPH2809,exp191121_4_C04
BPH2810,exp191120_4_B05
BPH2810,exp191120_4_F01
BPH2810,exp191120_4_G02
BPH2810,exp191121_4_B05
BPH2810,exp191121_4_F01
BPH2810,exp191121_4_G02
BPH2811,exp191120_4_F05
BPH2811,exp191120_4_F06
BPH2811,exp191120_4_G05
BPH2811,exp191121_4_F05
BPH2811,exp191121_4_F06
BPH2811,exp191121_4_G05
BPH2812,exp191129_5_A03
BPH2812,exp191129_5_D07
BPH2812,exp191129_5_G11
BPH2812,exp191130_5_A03
BPH2812,exp191130_5_D07
BPH2812,exp191130_5_G11
BPH2813,exp191129_5_C10
BPH2813,exp191129_5_H07
BPH2813,exp191129_5_H09
BPH2813,exp191130_5_C10
BPH2813,exp191130_5_H07
BPH2813,exp191130_5_H09
BPH2814,exp191129_5_B02
BPH2814,exp191129_5_G03
BPH2814,exp191129_5_H03
BPH2814,exp191130_5_B02
BPH2814,exp191130_5_G03
BPH2814,exp191130_5_H03
BPH2815,exp191129_5_E08
BPH2815,exp191129_5_F08
BPH2815,exp191129_5_G08
BPH2815,exp191130_5_E08
BPH2815,exp191130_5_F08
BPH2815,exp191130_5_G08
BPH2816,exp191129_5_A07
BPH2816,exp191129_5_E11
BPH2816,exp191129_5_H04
BPH2816,exp191130_5_A07
BPH2816,exp191130_5_E11
BPH2816,exp191130_5_H04
BPH2817,exp191129_5_D09
BPH2817,exp191129_5_E09
BPH2817,exp191129_5_F09
BPH2817,exp191130_5_D09
BPH2817,exp191130_5_E09
BPH2817,exp191130_5_F09
BPH2818,exp191129_5_A11
BPH2818,exp191129_5_C01
BPH2818,exp191129_5_H06
BPH2818,exp191130_5_A11
BPH2818,exp191130_5_C01
BPH2818,exp191130_5_H06
BPH2819,exp191129_5_D04
BPH2819,exp191129_5_D10
BPH2819,exp191129_5_E04
BPH2819,exp191130_5_D04
BPH2819,exp191130_5_D10
BPH2819,exp191130_5_E04
BPH2820,exp191129_5_C07
BPH2820,exp191129_5_G10
BPH2820,exp191129_5_H05
BPH2820,exp191130_5_C07
BPH2820,exp191130_5_G10
BPH2820,exp191130_5_H05
BPH2821,exp191129_5_C02
BPH2821,exp191129_5_G04
BPH2821,exp191129_5_H02
BPH2821,exp191130_5_C02
BPH2821,exp191130_5_G04
BPH2821,exp191130_5_H02
BPH2822,exp191129_5_B08
BPH2822,exp191129_5_D05
BPH2822,exp191129_5_G07
BPH2822,exp191130_5_B08
BPH2822,exp191130_5_D05
BPH2822,exp191130_5_G07
BPH2823,exp191129_5_A04
BPH2823,exp191129_5_B09
BPH2823,exp191129_5_E10
BPH2823,exp191130_5_A04
BPH2823,exp191130_5_B09
BPH2823,exp191130_5_E10
BPH2824,exp191129_5_A02
BPH2824,exp191129_5_B04
BPH2824,exp191129_5_B12
BPH2824,exp191130_5_A02
BPH2824,exp191130_5_B04
BPH2824,exp191130_5_B12
BPH2825,exp191129_5_B11
BPH2825,exp191129_5_C05
BPH2825,exp191129_5_G01
BPH2825,exp191130_5_B11
BPH2825,exp191130_5_C05
BPH2825,exp191130_5_G01
BPH2827,exp191129_5_A06
BPH2827,exp191129_5_B07
BPH2827,exp191129_5_D08
BPH2827,exp191130_5_A06
BPH2827,exp191130_5_B07
BPH2827,exp191130_5_D08
BPH2828,exp191129_5_F03
BPH2828,exp191129_5_F07
BPH2828,exp191129_5_G06
BPH2828,exp191130_5_F03
BPH2828,exp191130_5_F07
BPH2828,exp191130_5_G06
BPH2829,exp191129_5_A10
BPH2829,exp191129_5_F10
BPH2829,exp191129_5_G09
BPH2829,exp191130_5_A10
BPH2829,exp191130_5_F10
BPH2829,exp191130_5_G09
BPH2830,exp191129_5_A12
BPH2830,exp191129_5_D11
BPH2830,exp191129_5_H08
BPH2830,exp191130_5_A12
BPH2830,exp191130_5_D11
BPH2830,exp191130_5_H08
BPH2831,exp191129_5_C08
BPH2831,exp191129_5_C09
BPH2831,exp191129_5_G12
BPH2831,exp191130_5_C08
BPH2831,exp191130_5_C09
BPH2831,exp191130_5_G12
BPH2832,exp191129_5_A09
BPH2832,exp191129_5_C11
BPH2832,exp191129_5_D03
BPH2832,exp191130_5_A09
BPH2832,exp191130_5_C11
BPH2832,exp191130_5_D03
BPH2833,exp191129_5_E03
BPH2833,exp191129_5_E12
BPH2833,exp191129_5_F02
BPH2833,exp191130_5_E03
BPH2833,exp191130_5_E12
BPH2833,exp191130_5_F02
BPH2834,exp191129_5_C06
BPH2834,exp191129_5_E02
BPH2834,exp191129_5_E06
BPH2834,exp191130_5_C06
BPH2834,exp191130_5_E02
BPH2834,exp191130_5_E06
BPH2835,exp191129_5_C03
BPH2835,exp191129_5_F04
BPH2835,exp191130_5_C03
BPH2835,exp191130_5_F04
BPH2836,exp191129_5_B10
BPH2836,exp191129_5_D02
BPH2836,exp191129_5_D12
BPH2836,exp191130_5_B10
BPH2836,exp191130_5_D02
BPH2836,exp191130_5_D12
BPH2837,exp191129_5_B01
BPH2837,exp191129_5_B03
BPH2837,exp191129_5_C04
BPH2837,exp191130_5_B01
BPH2837,exp191130_5_B03
BPH2837,exp191130_5_C04
BPH2838,exp191129_5_B05
BPH2838,exp191129_5_F01
BPH2838,exp191129_5_G02
BPH2838,exp191130_5_B05
BPH2838,exp191130_5_F01
BPH2838,exp191130_5_G02
BPH2839,exp191129_5_F05
BPH2839,exp191129_5_F06
BPH2839,exp191129_5_G05
BPH2839,exp191130_5_F05
BPH2839,exp191130_5_F06
BPH2839,exp191130_5_G05
BPH2840,exp191205_6_A03
BPH2840,exp191205_6_D07
BPH2840,exp191205_6_G11
BPH2840,exp191206_6_A03
BPH2840,exp191206_6_D07
BPH2840,exp191206_6_G11
BPH2841,exp191205_6_C10
BPH2841,exp191205_6_H07
BPH2841,exp191205_6_H09
BPH2841,exp191206_6_C10
BPH2841,exp191206_6_H07
BPH2841,exp191206_6_H09
BPH2842,exp191205_6_B02
BPH2842,exp191205_6_G03
BPH2842,exp191205_6_H03
BPH2842,exp191206_6_B02
BPH2842,exp191206_6_G03
BPH2842,exp191206_6_H03
BPH2843,exp191205_6_E08
BPH2843,exp191205_6_F08
BPH2843,exp191205_6_G08
BPH2843,exp191206_6_E08
BPH2843,exp191206_6_F08
BPH2843,exp191206_6_G08
BPH2844,exp191205_6_A07
BPH2844,exp191205_6_E11
BPH2844,exp191205_6_H04
BPH2844,exp191206_6_A07
BPH2844,exp191206_6_E11
BPH2844,exp191206_6_H04
BPH2845,exp191205_6_D09
BPH2845,exp191205_6_E09
BPH2845,exp191205_6_F09
BPH2845,exp191206_6_D09
BPH2845,exp191206_6_E09
BPH2845,exp191206_6_F09
BPH2846,exp191205_6_A11
BPH2846,exp191205_6_C01
BPH2846,exp191205_6_H06
BPH2846,exp191206_6_A11
BPH2846,exp191206_6_C01
BPH2846,exp191206_6_H06
BPH2847,exp191205_6_D04
BPH2847,exp191205_6_D10
BPH2847,exp191205_6_E04
BPH2847,exp191206_6_D04
BPH2847,exp191206_6_D10
BPH2847,exp191206_6_E04
BPH2848,exp191205_6_C07
BPH2848,exp191205_6_G10
BPH2848,exp191205_6_H05
BPH2848,exp191206_6_C07
BPH2848,exp191206_6_G10
BPH2848,exp191206_6_H05
