well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
C04,12685,6,C,04,exp200731,40000,GP2,exp200731_GP2_C04,BPH3204,3,VSS-005
C05,14016,6,C,05,exp200731,40000,GP2,exp200731_GP2_C05,BPH2964,1,VAN-207
C06,13399,6,C,06,exp200731,40000,GP2,exp200731_GP2_C06,BPH2990,3,VAN-223
C07,14386,6,C,07,exp200731,40000,GP2,exp200731_GP2_C07,BPH2952,1,VAN-200
C08,12879,6,C,08,exp200731,40000,GP2,exp200731_GP2_C08,BPH2987,1,VAN-222
C09,13251,6,C,09,exp200731,40000,GP2,exp200731_GP2_C09,BPH2987,2,VAN-222
C10,12880,6,C,10,exp200731,40000,GP2,exp200731_GP2_C10,BPH2923,3,VAN-176
C11,12764,6,C,11,exp200731,40000,GP2,exp200731_GP2_C11,BPH2988,1,VAN-222
C12,14339,6,C,12,exp200731,40000,GP2,exp200731_GP2_C12,TOX-4,2,CONTROL
D01,13784,6,D,01,exp200731,40000,GP2,exp200731_GP2_D01,BPH3220,3,VSS-021
D02,14259,6,D,02,exp200731,40000,GP2,exp200731_GP2_D02,BPH3202,2,VSS-003
D03,13591,6,D,03,exp200731,40000,GP2,exp200731_GP2_D03,BPH2988,3,VAN-222
D04,13954,6,D,04,exp200731,40000,GP2,exp200731_GP2_D04,BPH2948,3,VAN-196
D05,13787,6,D,05,exp200731,40000,GP2,exp200731_GP2_D05,BPH2959,2,VAN-206
D06,13352,6,D,06,exp200731,40000,GP2,exp200731_GP2_D06,Non infected,2,CONTROL
D07,13927,6,D,07,exp200731,40000,GP2,exp200731_GP2_D07,BPH2922,2,VAN-176
D08,13584,6,D,08,exp200731,40000,GP2,exp200731_GP2_D08,BPH2966,3,VAN-208
D09,14067,6,D,09,exp200731,40000,GP2,exp200731_GP2_D09,BPH2946,3,VAN-195
D10,14398,6,D,10,exp200731,40000,GP2,exp200731_GP2_D10,BPH2948,1,VAN-196
D11,13273,6,D,11,exp200731,40000,GP2,exp200731_GP2_D11,BPH2975,1,VAN-215
D12,13758,6,D,12,exp200731,40000,GP2,exp200731_GP2_D12,BPH3202,3,VSS-003
E01,13542,6,E,01,exp200731,40000,GP2,exp200731_GP2_E01,TOX-4,1,CONTROL
E02,13785,6,E,02,exp200731,40000,GP2,exp200731_GP2_E02,BPH2990,2,VAN-223
E03,13826,6,E,03,exp200731,40000,GP2,exp200731_GP2_E03,BPH2989,2,VAN-223
E04,13645,6,E,04,exp200731,40000,GP2,exp200731_GP2_E04,BPH2948,2,VAN-196
E05,13827,6,E,05,exp200731,40000,GP2,exp200731_GP2_E05,Non infected,1,CONTROL
E06,13434,6,E,06,exp200731,40000,GP2,exp200731_GP2_E06,BPH2990,1,VAN-223
E07,13637,6,E,07,exp200731,40000,GP2,exp200731_GP2_E07,JE2,1,CONTROL
E08,13236,6,E,08,exp200731,40000,GP2,exp200731_GP2_E08,BPH2925,2,VAN-176
E09,13415,6,E,09,exp200731,40000,GP2,exp200731_GP2_E09,BPH2946,2,VAN-195
E10,13887,6,E,10,exp200731,40000,GP2,exp200731_GP2_E10,BPH2960,3,VAN-206
E11,13529,6,E,11,exp200731,40000,GP2,exp200731_GP2_E11,BPH2926,1,VAN-176
E12,13609,6,E,12,exp200731,40000,GP2,exp200731_GP2_E12,BPH2989,3,VAN-223
F01,13681,6,F,01,exp200731,40000,GP2,exp200731_GP2_F01,BPH3208,1,VSS-009
F02,14018,6,F,02,exp200731,40000,GP2,exp200731_GP2_F02,BPH2989,1,VAN-223
F03,13405,6,F,03,exp200731,40000,GP2,exp200731_GP2_F03,BPH2973,2,VAN-215
F04,14022,6,F,04,exp200731,40000,GP2,exp200731_GP2_F04,BPH2991,1,VAN-223
F05,13455,6,F,05,exp200731,40000,GP2,exp200731_GP2_F05,BPH3216,2,VSS-017
F06,13465,6,F,06,exp200731,40000,GP2,exp200731_GP2_F06,BPH3216,1,VSS-017
F07,14061,6,F,07,exp200731,40000,GP2,exp200731_GP2_F07,BPH2973,3,VAN-215
F08,13042,6,F,08,exp200731,40000,GP2,exp200731_GP2_F08,BPH2925,3,VAN-176
F09,13181,6,F,09,exp200731,40000,GP2,exp200731_GP2_F09,BPH2946,1,VAN-195
F10,13855,6,F,10,exp200731,40000,GP2,exp200731_GP2_F10,BPH2974,2,VAN-215
F11,13305,6,F,11,exp200731,40000,GP2,exp200731_GP2_F11,JE2,4,CONTROL
F12,13034,6,F,12,exp200731,40000,GP2,exp200731_GP2_F12,BPH3220,2,VSS-021
G01,14031,6,G,01,exp200731,40000,GP2,exp200731_GP2_G01,BPH2964,2,VAN-207
G02,13676,6,G,02,exp200731,40000,GP2,exp200731_GP2_G02,BPH3208,2,VSS-009
G03,13845,6,G,03,exp200731,40000,GP2,exp200731_GP2_G03,BPH2924,3,VAN-176
G04,13802,6,G,04,exp200731,40000,GP2,exp200731_GP2_G04,BPH2953,2,VAN-200
