"sample_id","time_of_max_rate_death_mean","max_rate_death_mean","doubling_time_death_mean","AUC_death_mean","time_of_max_death_mean","max_death_mean","time_of_min_death_mean","min_death_mean","end_point_death_mean","end_point_timepoint_death_mean","time_of_max_rate_death_sd","max_rate_death_sd","doubling_time_death_sd","AUC_death_sd","time_of_max_death_sd","max_death_sd","time_of_min_death_sd","min_death_sd","end_point_death_sd","end_point_timepoint_death_sd","time_of_max_rate_death_median","max_rate_death_median","doubling_time_death_median","AUC_death_median","time_of_max_death_median","max_death_median","time_of_min_death_median","min_death_median","end_point_death_median","end_point_timepoint_death_median","time_of_max_rate_death_mad","max_rate_death_mad","doubling_time_death_mad","AUC_death_mad","time_of_max_death_mad","max_death_mad","time_of_min_death_mad","min_death_mad","end_point_death_mad","end_point_timepoint_death_mad","time_of_max_rate_death_IQR","max_rate_death_IQR","doubling_time_death_IQR","AUC_death_IQR","time_of_max_death_IQR","max_death_IQR","time_of_min_death_IQR","min_death_IQR","end_point_death_IQR","end_point_timepoint_death_IQR"
"BPH2964",510,0.00127543254599198,552.564526064251,66.2954087606575,1088,0.740682196078181,136,-0.00546004882503786,0.739535876366434,1104,28.3971829588782,0.000187370762786968,75.3892271047668,8.2833122680795,39.1918358845308,0.0602584182107737,10.507140429251,0.0738439254008013,0.0585314956810477,0,507,0.00124449579640436,556.973738994674,65.6565645068426,1104,0.729985490262068,135,0.00306528015294225,0.729985490262068,1104,31.1346,5.98602105613923e-05,26.4734492332876,3.40653154393882,0,0.0704810505294828,8.8956,0.062046544967967,0.0704810505294828,0,39,6.21119044917834e-05,27.4774741949778,3.56459536568225,0,0.0920123458379845,10.5,0.0653658644659285,0.0920123458379845,0
"BPH2965",488,0.00187913172165912,377.0744436856,82.8087173438113,773,0.731932506046971,167,0.0907401073020664,0.611675362790692,1104,28.5657137141714,0.000270492248536217,68.6943829765162,21.9223455761015,53.4527829022961,0.120708095899992,55.6956012625773,0.161318378959088,0.141828512914381,0,477,0.00194967915813559,355.520581950259,76.3097012481869,765,0.69046183619651,153,0.00905160899351426,0.578351147502558,1104,17.7912,4.6525567440133e-05,8.42911528686756,14.3853908564196,57.8214,0.0677800703237934,44.478,0.0612083101042139,0.121543227912797,0,36,4.93804827229789e-05,8.94906164956791,17.2636457436528,82.5,0.0696304579608923,58.5,0.232039658489137,0.146586289742837,0
"BPH2966",444,0.00283216840339958,251.646653860106,91.9611339640672,805,0.895994021846209,118,-0.0656947631699725,0.792431674544602,1104,55.6417109729742,0.000519998707292416,45.4149990050829,16.9248976384507,83.433806098008,0.129378159220583,53.7549997674635,0.056973675835036,0.113072523010462,0,450,0.00280890447293158,249.380836682206,92.4601260958464,780,0.914838983063077,129,-0.0539340898445889,0.800979601637101,1104,40.0302,0.000576523480438039,52.809549721505,25.1763821104744,57.8214,0.169897719750975,40.0302,0.020605516899104,0.144407686459005,0,49.5,0.000727052958698946,66.192959677417,26.629984970029,58.5,0.195831665214495,42,0.023446358202147,0.180714820130417,0
"BPH2973",284,0.00412714862533069,171.762025551792,142.068696604131,540,1.15075228169268,35,-0.0321570185153572,0.789966267568262,1104,39.7391494624633,0.000616434732872628,30.9059205745542,22.0661817393961,52.168956286282,0.170833601817972,40.054962239403,0.0291270101573481,0.0913453673060886,0,282,0.00427629601806637,162.229737715741,145.925857347401,543,1.17144092762146,27,-0.0481291058559773,0.802303466339772,1104,53.3736,0.000305672892680743,11.9401692501361,8.52198852347606,53.3736,0.102587605162086,40.0302,0.00796443368911835,0.0824420412922679,0,63,0.00037188858321569,14.4562279244651,10.3097338082902,67.5,0.108628233097267,63,0.041295038770805,0.104844686727211,0
"BPH2974",300,0.00308088551312676,229.938648410334,108.939778195873,574.8,0.87957884237717,42,-0.0176325310829722,0.650457651054681,1104,12.7279220613579,0.000517122935831237,37.3961918349549,17.3507604864636,31.5784736806578,0.140758195554965,30.2985148150862,0.0244021849184836,0.0693915627655232,0,300,0.00309861401791466,223.695877109091,105.08878312752,564,0.853315920668564,54,-0.019929523573643,0.647508610198035,1104,17.7912,0.000382218927641182,30.0973214283021,3.3462263968982,8.8956,0.0100317753914753,35.5824,0.013610011472942,0.0313848306372401,0,18,0.000295304142533822,22.9752737140202,3.53980841108923,12,0.0129283510052043,30,0.0183540700262218,0.0229355335206308,0
"BPH2975",316,0.00314078523097376,231.290536360042,115.373232187782,627,0.93151676417757,32,-0.0295948705927402,0.748948697866809,1104,27.5390631648936,0.000681514211441829,60.3536011464361,22.2552308427357,65.6993150649229,0.167429638808563,35.5302687859239,0.034541956043516,0.107516347814592,0,321,0.00325874803985768,212.709295251645,110.546599767654,606,0.892840607953721,27,-0.0315718539828146,0.708756504756083,1104,26.6868,0.000323017479964921,23.2049837799245,18.1245820957358,17.7912,0.142200655531546,40.0302,0.0288566382645802,0.076094389551943,0,28.5,0.000335298181053986,24.0314730827644,18.8083962375422,21,0.151344933667773,63,0.0321645743027131,0.126853001101342,0
"BPH2976",1104,0.00148963937421249,467.79310861767,33.6378252346452,1104,0.635441150012785,228,0.011400318656542,0.635441150012785,1104,0,0.000153421422600598,48.1790998877299,2.0389534311519,0,0.0154433094748192,42.4264068711929,0.0142502588034206,0.0154433094748192,0,1104,0.00148963937421249,467.79310861767,33.6378252346452,1104,0.635441150012785,228,0.011400318656542,0.635441150012785,1104,0,0.000160840347737832,50.5088731957046,2.13755011085681,0,0.0161900940823579,44.478,0.0149393516397191,0.0161900940823579,0,0,0.00010848532830017,34.0677682420778,1.4417577976911,0,0.0109200688536072,30,0.010076454633562,0.0109200688536072,0
"BPH2977",1104,0.0027631276717667,322.5676097214,56.5734438974794,1104,1.09440512442328,222,0.0643670491025165,1.09440512442328,1104,0,0.00184246938353688,215.089932725531,12.3194701256957,0,0.477624618660987,50.9116882454314,0.0168969061819978,0.477624618660987,0,1104,0.0027631276717667,322.5676097214,56.5734438974794,1104,1.09440512442328,222,0.0643670491025165,1.09440512442328,1104,0,0.00193156477968433,225.490932022855,12.9151967526796,0,0.500720880118361,53.3736,0.0177139816587482,0.500720880118361,0,0,0.00130282259522752,152.091549995181,8.71118086650453,0,0.337731606716823,36,0.0119479169423636,0.337731606716823,0
"BPH2978",822,0.00211861824595834,332.016123237097,72.2550255216666,1104,1.17640262715263,212,-0.00270134823771607,1.17640262715263,1104,114,0.000315015257482654,49.072859545057,8.08916085549995,0,0.0296692343960095,21.0713075057055,0.0520491348776609,0.0296692343960095,0,792,0.00209463306240574,330.915802390633,75.4293730654932,1104,1.18565236766673,210,0.0190573203523261,1.18565236766673,1104,97.8516,0.000412684529019958,70.2946999449222,4.21975058875752,0,0.0217834995263014,26.6868,0.0235442394648158,0.0217834995263014,0,111,0.00031432967673181,49.0636068227258,7.60770409515277,0,0.0285673799106922,21,0.0485183748429857,0.0285673799106922,0
"BPH2979",838,0.0019480226168367,360.148259022519,69.9522849466048,1104,1.20500355149669,158,-0.0428463155493704,1.20500355149669,1104,43.4050688284214,0.000271566235178712,46.5701800609147,18.8765697498294,0,0.197068942070517,12.4899959967968,0.0545267299948127,0.197068942070517,0,816,0.00181123408299212,382.693317815046,60.0784746893415,1104,1.12243567331778,162,-0.0413047629639891,1.12243567331778,1104,8.8956,5.80934689161496e-05,12.5459073664574,2.99189240459298,0,0.0886396484884443,8.8956,0.0773888369564936,0.0886396484884443,0,39,0.000244366308736754,42.2796867767152,16.8287191661411,0,0.183638441097082,12,0.0545103842918676,0.183638441097082,0
