"well_id","time_of_max_rate_growth","max_rate_growth","doubling_time_growth","AUC_growth","time_of_max_growth","max_growth","time_of_min_growth","min_growth","end_point_growth","end_point_timepoint_growth","experiment_id","well_row","well_col","OD","well","OD_blank_normalised","experiment","plate","sample_id","replicate","strain_group","mean_blank_OD","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","plate_replicate"
"exp191107_2_C03",350,0.00282041753561347,245.760484682697,59.502597293661,930,1.02877298011914,0,0.0367257061429226,1.02877298011914,930,"exp191107_2","C","3",-0.006366667,"C03",TRUE,"exp191107","2","BPH2750","3","VAN-040",0.006,0.00287356879170195,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C05",350,0.00275789777671481,251.33171592227,57.6959382373888,730,0.97513187017446,0,0.0454466712454791,0.955328295056966,930,"exp191107_2","C","5",0.003,"C05",TRUE,"exp191107","2","BPH2741","1","VAN-031",0.006,0.00805060474892146,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C06",350,0.00297876864275834,232.695876615007,65.3622669639801,930,1.15680209679432,0,0.0333727905585682,1.15680209679432,930,"exp191107_2","C","6",-0.006666667,"C06",TRUE,"exp191107","2","BPH2749","3","VAN-039",0.006,0.0010002837319184,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C07",360,0.00300690294154369,230.518641284809,63.2560752494777,930,1.1226602148921,30,0.0407075416068668,1.1226602148921,930,"exp191107_2","C","7",-0.005,"C07",TRUE,"exp191107","2","BPH2736","1","VAN-028",0.006,0.00175084083615192,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C08",310,0.00294211787637029,235.594632739557,68.3621155455431,930,1.13738812410429,0,0.0168559743025649,1.13738812410429,930,"exp191107_2","C","8",-0.001,"C08",TRUE,"exp191107","2","BPH2746","1","VAN-037",0.006,0.00312733511572506,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C09",300,0.00288334917775475,240.396545069056,69.5691578218846,930,1.12497959527409,0,0.00938967667202945,1.12497959527409,930,"exp191107_2","C","9",0.006,"C09",TRUE,"exp191107","2","BPH2746","2","VAN-037",0.006,0.00312733511572506,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C10",550,0.00271585585759301,255.222374420954,42.8640092134617,930,1.1486531772775,240,0.0541876698884355,1.1486531772775,930,"exp191107_2","C","10",0.003,"C10",TRUE,"exp191107","2","BPH2729","3","VAN-024",0.006,0.00364466583909429,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C11",380,0.00291558475423495,237.738649014793,62.0794075567348,830,1.12623130816753,60,0.0538392106568479,1.12103282266664,930,"exp191107_2","C","11",0.02,"C11",TRUE,"exp191107","2","BPH2747","1","VAN-038",0.006,0.0118309647748493,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C12",270,0.00271763558090469,255.05523456872,65.113557138437,650,0.997714195351163,0,0.00836626486102636,0.924468468162815,930,"exp191107_2","C","12",0.007,"C12",TRUE,"exp191107","2","JE2","2","CONTROL",0.006,0.0165342570261804,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D01",330,0.00269775688639416,256.934634864897,56.718525166031,640,0.928259288183032,0,0.0282688006142942,0.864489256481045,930,"exp191107_2","D","1",-0.003,"D01",TRUE,"exp191107","2","BPH2755","3","VAN-043",0.006,0.00736899887131998,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
