GP-0295	BPH2979	BPH2976
GP-0296	BPH2979	BPH2977
GP-0297	BPH2979	BPH2978
GP-0298	BPH2979	BPH2980
GP-0299	BPH2979	BPH2981
GP-0300	BPH2979	BPH2982
GP-0301	BPH2980	BPH2976
GP-0302	BPH2980	BPH2977
GP-0303	BPH2980	BPH2978
GP-0304	BPH2980	BPH2979
GP-0305	BPH2980	BPH2981
GP-0306	BPH2980	BPH2982
GP-0307	BPH2981	BPH2976
GP-0308	BPH2981	BPH2977
GP-0309	BPH2981	BPH2978
GP-0310	BPH2981	BPH2979
GP-0311	BPH2981	BPH2980
GP-0312	BPH2981	BPH2982
GP-0313	BPH2981	BPH3435
GP-0314	BPH2982	BPH2781
GP-0315	BPH2982	BPH2976
GP-0316	BPH2982	BPH2977
GP-0317	BPH2982	BPH2978
GP-0318	BPH2982	BPH2979
GP-0319	BPH2982	BPH2980
GP-0320	BPH2982	BPH2981
GP-0321	BPH2982	BPH3376
GP-0322	BPH2982	BPH3382
GP-0323	BPH2982	BPH3435
GP-0324	BPH2987	BPH2988
GP-0325	BPH2988	BPH2987
GP-0326	BPH2989	BPH2990
GP-0327	BPH2989	BPH2991
GP-0328	BPH2990	BPH2989
GP-0329	BPH2990	BPH2991
GP-0330	BPH2991	BPH2989
GP-0331	BPH2991	BPH2990
GP-0332	BPH3202	BPH2787
GP-0333	BPH3202	BPH2869
GP-0334	BPH3202	BPH3636
GP-0335	BPH3202	BPH3638
GP-0336	BPH3202	BPH3640
GP-0337	BPH3202	BPH3643
GP-0338	BPH3202	BPH3644
GP-0339	BPH3202	BPH3646
GP-0340	BPH3202	BPH3648
GP-0341	BPH3202	BPH3650
GP-0342	BPH3202	BPH3652
GP-0343	BPH3202	BPH3658
GP-0344	BPH3202	BPH3660
GP-0345	BPH3202	BPH3662
GP-0346	BPH3202	BPH3666
GP-0347	BPH3202	BPH3668
GP-0348	BPH3202	BPH3670
GP-0349	BPH3202	BPH3672
GP-0350	BPH3202	BPH3674
GP-0351	BPH3202	BPH3676
GP-0352	BPH3202	BPH3682
GP-0353	BPH3202	BPH3684
GP-0354	BPH3202	BPH3686
GP-0355	BPH3202	BPH3688
GP-0356	BPH3202	BPH3692
GP-0357	BPH3202	BPH3694
GP-0358	BPH3202	BPH3698
GP-0359	BPH3202	BPH3700
GP-0360	BPH3202	BPH3702
GP-0361	BPH3202	BPH3704
GP-0362	BPH3202	BPH3706
GP-0363	BPH3202	BPH3710
GP-0364	BPH3202	BPH3712
GP-0365	BPH3202	BPH3753
GP-0366	BPH3202	BPH3755
GP-0367	BPH3202	BPH3757
GP-0368	BPH3204	BPH3226
GP-0369	BPH3204	BPH3292
GP-0370	BPH3204	BPH3320
GP-0371	BPH3208	BPH2869
GP-0372	BPH3208	BPH3220
GP-0373	BPH3208	BPH3250
