inoculum_OD,well,inoculum_OD_blank_normalised,experiment,plate,sample_id,replicate
0.423,E11,TRUE,exp190905,2,BPH2732,1
0.527,E12,TRUE,exp190905,2,BPH2748,3
0.558,F01,TRUE,exp190905,2,BPH2753,1
0.468,F02,TRUE,exp190905,2,BPH2748,1
0.38,F03,TRUE,exp190905,2,BPH2743,2
0.399,F04,TRUE,exp190905,2,BPH2750,1
0.374,F05,TRUE,exp190905,2,BPH2754,2
0.338,F06,TRUE,exp190905,2,BPH2754,1
0.374,F07,TRUE,exp190905,2,BPH2743,3
0.382,F08,TRUE,exp190905,2,BPH2731,3
0.369,F09,TRUE,exp190905,2,BPH2733,1
0.452,F10,TRUE,exp190905,2,BPH2744,2
0.508,F11,TRUE,exp190905,2,JE2,3
0.446,F12,TRUE,exp190905,2,BPH2755,2
0.521,G01,TRUE,exp190905,2,BPH2741,2
0.48,G02,TRUE,exp190905,2,BPH2753,2
0.588,G03,TRUE,exp190905,2,BPH2730,3
0.563,G04,TRUE,exp190905,2,BPH2737,2
0.371,G05,TRUE,exp190905,2,BPH2754,3
0.35,G06,TRUE,exp190905,2,BPH2743,1
0.418,G07,TRUE,exp190905,2,BPH2738,1
0.426,G08,TRUE,exp190905,2,BPH2731,1
0.474,G09,TRUE,exp190905,2,BPH2744,1
0.438,G10,TRUE,exp190905,2,BPH2736,2
0.541,G11,TRUE,exp190905,2,BPH2728,3
0.649,G12,TRUE,exp190905,2,BPH2746,3
0.613,H02,TRUE,exp190905,2,BPH2737,3
0.571,H03,TRUE,exp190905,2,BPH2730,2
0.542,H04,TRUE,exp190905,2,BPH2732,3
0.574,H05,TRUE,exp190905,2,BPH2736,3
0.356,H06,TRUE,exp190905,2,BPH2734,1
0.425,H07,TRUE,exp190905,2,BPH2729,2
0.407,H08,TRUE,exp190905,2,BPH2745,2
0.508,H09,TRUE,exp190905,2,BPH2729,1
-0.002,H10,TRUE,exp190905,2,Complete lysis,1
-0.006,H11,TRUE,exp190905,2,Complete lysis,2
-0.004,H12,TRUE,exp190905,2,Complete lysis,3
NA,H10,TRUE,exp190909,2,Complete lysis,1
NA,H11,TRUE,exp190909,2,Complete lysis,2
NA,H12,TRUE,exp190909,2,Complete lysis,3
0.811,A01,TRUE,exp190909,2,BPH2750,2
0.586,A02,TRUE,exp190909,2,BPH2740,3
0.575,A03,TRUE,exp190909,2,BPH2728,1
0.529,A04,TRUE,exp190909,2,BPH2739,1
0.004,A05,TRUE,exp190909,2,Non infected,3
0.463,A06,TRUE,exp190909,2,BPH2742,1
0.418,A07,TRUE,exp190909,2,BPH2732,2
0.634,A08,TRUE,exp190909,2,BPH2755,1
0.465,A09,TRUE,exp190909,2,BPH2747,2
0.507,A10,TRUE,exp190909,2,BPH2744,3
0.445,A11,TRUE,exp190909,2,BPH2734,3
0.849,A12,TRUE,exp190909,2,BPH2745,3
0.493,B01,TRUE,exp190909,2,BPH2752,2
0.526,B02,TRUE,exp190909,2,BPH2730,1
0.33,B03,TRUE,exp190909,2,BPH2752,1
0.353,B04,TRUE,exp190909,2,BPH2740,1
0.302,B05,TRUE,exp190909,2,BPH2753,3
0.402,B06,TRUE,exp190909,2,TOX-4,3
0.345,B07,TRUE,exp190909,2,BPH2742,2
0.391,B08,TRUE,exp190909,2,BPH2738,3
0.571,B09,TRUE,exp190909,2,BPH2739,2
0.411,B10,TRUE,exp190909,2,BPH2751,1
0.373,B11,TRUE,exp190909,2,BPH2741,3
0.716,B12,TRUE,exp190909,2,BPH2740,2
0.316,C01,TRUE,exp190909,2,BPH2734,2
0.357,C02,TRUE,exp190909,2,BPH2737,1
0.254,C03,TRUE,exp190909,2,BPH2750,3
0.245,C04,TRUE,exp190909,2,BPH2752,3
0.228,C05,TRUE,exp190909,2,BPH2741,1
0.344,C06,TRUE,exp190909,2,BPH2749,3
0.378,C07,TRUE,exp190909,2,BPH2736,1
0.407,C08,TRUE,exp190909,2,BPH2746,1
0.513,C09,TRUE,exp190909,2,BPH2746,2
0.347,C10,TRUE,exp190909,2,BPH2729,3
0.373,C11,TRUE,exp190909,2,BPH2747,1
0.364,C12,TRUE,exp190909,2,JE2,2
0.329,D01,TRUE,exp190909,2,BPH2755,3
0.246,D02,TRUE,exp190909,2,BPH2751,2
0.359,D03,TRUE,exp190909,2,BPH2747,3
0.284,D04,TRUE,exp190909,2,BPH2735,3
0.453,D05,TRUE,exp190909,2,BPH2738,2
0.297,D06,TRUE,exp190909,2,TOX-4,2
0.377,D07,TRUE,exp190909,2,BPH2728,2
0.284,D08,TRUE,exp190909,2,BPH2742,3
0.412,D09,TRUE,exp190909,2,BPH2733,3
0.318,D10,TRUE,exp190909,2,BPH2735,1
0.474,D11,TRUE,exp190909,2,BPH2745,1
0.341,D12,TRUE,exp190909,2,BPH2751,3
0.34,E01,TRUE,exp190909,2,JE2,1
0.376,E02,TRUE,exp190909,2,BPH2749,2
0.433,E03,TRUE,exp190909,2,BPH2748,2
0.313,E04,TRUE,exp190909,2,BPH2735,2
0.375,E05,TRUE,exp190909,2,TOX-4,1
0.344,E06,TRUE,exp190909,2,BPH2749,1
9.33333e-4,E07,TRUE,exp190909,2,Non infected,1
0.267,E08,TRUE,exp190909,2,BPH2731,2
0.405,E09,TRUE,exp190909,2,BPH2733,2
0.541,E10,TRUE,exp190909,2,BPH2739,3
0.462,E11,TRUE,exp190909,2,BPH2732,1
0.445,E12,TRUE,exp190909,2,BPH2748,3
0.447,F01,TRUE,exp190909,2,BPH2753,1
0.359,F02,TRUE,exp190909,2,BPH2748,1
0.31,F03,TRUE,exp190909,2,BPH2743,2
0.362,F04,TRUE,exp190909,2,BPH2750,1
0.296,F05,TRUE,exp190909,2,BPH2754,2
0.283,F06,TRUE,exp190909,2,BPH2754,1
0.321,F07,TRUE,exp190909,2,BPH2743,3
0.349,F08,TRUE,exp190909,2,BPH2731,3
0.365,F09,TRUE,exp190909,2,BPH2733,1
0.367,F10,TRUE,exp190909,2,BPH2744,2
0.388,F11,TRUE,exp190909,2,JE2,3
0.38,F12,TRUE,exp190909,2,BPH2755,2
0.418,G01,TRUE,exp190909,2,BPH2741,2
0.363,G02,TRUE,exp190909,2,BPH2753,2
0.471,G03,TRUE,exp190909,2,BPH2730,3
0.507,G04,TRUE,exp190909,2,BPH2737,2
0.327,G05,TRUE,exp190909,2,BPH2754,3
0.271,G06,TRUE,exp190909,2,BPH2743,1
0.382,G07,TRUE,exp190909,2,BPH2738,1
0.345,G08,TRUE,exp190909,2,BPH2731,1
0.403,G09,TRUE,exp190909,2,BPH2744,1
0.421,G10,TRUE,exp190909,2,BPH2736,2
0.466,G11,TRUE,exp190909,2,BPH2728,3
0.543,G12,TRUE,exp190909,2,BPH2746,3
0.007,H01,TRUE,exp190909,2,Non infected,2
0.664,H02,TRUE,exp190909,2,BPH2737,3
0.572,H03,TRUE,exp190909,2,BPH2730,2
0.51,H04,TRUE,exp190909,2,BPH2732,3
0.431,H05,TRUE,exp190909,2,BPH2736,3
0.341,H06,TRUE,exp190909,2,BPH2734,1
0.376,H07,TRUE,exp190909,2,BPH2729,2
0.416,H08,TRUE,exp190909,2,BPH2745,2
0.392,H09,TRUE,exp190909,2,BPH2729,1
NA,H10,TRUE,exp191109,3,Complete lysis,1
NA,H11,TRUE,exp191109,3,Complete lysis,2
NA,H12,TRUE,exp191109,3,Complete lysis,3
0.655,A01,TRUE,exp191109,3,BPH2779,2
0.467,A02,TRUE,exp191109,3,BPH2768,3
0.371,A03,TRUE,exp191109,3,BPH2756,1
0.39799999999999996,A04,TRUE,exp191109,3,BPH2767,1
-0.0020000000000000018,A05,TRUE,exp191109,3,Non infected,3
0.361,A06,TRUE,exp191109,3,BPH2770,1
0.351,A07,TRUE,exp191109,3,BPH2760,2
0.349,A08,TRUE,exp191109,3,BPH2784,1
0.377,A09,TRUE,exp191109,3,BPH2776,2
0.437,A10,TRUE,exp191109,3,BPH2773,3
0.377,A11,TRUE,exp191109,3,BPH2762,3
0.627,A12,TRUE,exp191109,3,BPH2774,3
0.46900000000000003,B01,TRUE,exp191109,3,BPH2781,2
0.369,B02,TRUE,exp191109,3,BPH2758,1
0.314,B03,TRUE,exp191109,3,BPH2781,1
0.33199999999999996,B04,TRUE,exp191109,3,BPH2768,1
0.435,B05,TRUE,exp191109,3,BPH2782,3
0.296,B06,TRUE,exp191109,3,TOX-4,3
0.312,B07,TRUE,exp191109,3,BPH2770,2
0.295,B08,TRUE,exp191109,3,BPH2766,3
0.25999999999999995,B09,TRUE,exp191109,3,BPH2767,2
0.27699999999999997,B10,TRUE,exp191109,3,BPH2780,1
0.362,B11,TRUE,exp191109,3,BPH2769,3
0.371,B12,TRUE,exp191109,3,BPH2768,2
0.523,C01,TRUE,exp191109,3,BPH2762,2
0.462,C02,TRUE,exp191109,3,BPH2765,1
0.282,C03,TRUE,exp191109,3,BPH2779,3
0.379,C04,TRUE,exp191109,3,BPH2781,3
0.453,C05,TRUE,exp191109,3,BPH2769,1
0.367,C06,TRUE,exp191109,3,BPH2778,3
0.288,C07,TRUE,exp191109,3,BPH2764,1
0.22499999999999998,C08,TRUE,exp191109,3,BPH2775,1
0.27799999999999997,C09,TRUE,exp191109,3,BPH2775,2
0.286,C10,TRUE,exp191109,3,BPH2757,3
0.27699999999999997,C11,TRUE,exp191109,3,BPH2776,1
0.303,C12,TRUE,exp191109,3,JE2,2
0.612,D01,TRUE,exp191109,3,BPH2784,3
0.362,D02,TRUE,exp191109,3,BPH2780,2
