well,sample,wave_length,time,OD,timepoint
A07,Sample X7,WL493,12,35972,12
A08,Sample X8,WL493,12,36051,12
A09,Sample X9,WL493,12,36674,12
A10,Sample X10,WL493,12,35920,12
A11,Sample X11,WL493,12,36083,12
A12,Sample X12,WL493,12,35699,12
B01,Sample X13,WL493,12,35915,12
B02,Sample X14,WL493,12,36501,12
B03,Sample X15,WL493,12,36411,12
B04,Sample X16,WL493,12,36098,12
B05,Sample X17,WL493,12,36607,12
B06,Sample X18,WL493,12,36486,12
B07,Sample X19,WL493,12,35792,12
B08,Sample X20,WL493,12,36036,12
B09,Sample X21,WL493,12,36342,12
B10,Sample X22,WL493,12,35774,12
B11,Sample X23,WL493,12,35238,12
B12,Sample X24,WL493,12,36069,12
C01,Sample X25,WL493,12,36361,12
C02,Sample X26,WL493,12,36184,12
C03,Sample X27,WL493,12,35770,12
C04,Sample X28,WL493,12,35204,12
C05,Sample X29,WL493,12,35569,12
C06,Sample X30,WL493,12,35248,12
C07,Sample X31,WL493,12,35585,12
C08,Sample X32,WL493,12,35576,12
C09,Sample X33,WL493,12,35753,12
C10,Sample X34,WL493,12,35506,12
C11,Sample X35,WL493,12,35876,12
C12,Sample X36,WL493,12,36325,12
D01,Sample X37,WL493,12,35921,12
D02,Sample X38,WL493,12,35637,12
D03,Sample X39,WL493,12,35978,12
D04,Sample X40,WL493,12,36041,12
D05,Sample X41,WL493,12,35741,12
D06,Sample X42,WL493,12,35541,12
D07,Sample X43,WL493,12,35796,12
D08,Sample X44,WL493,12,35549,12
D09,Sample X45,WL493,12,35688,12
D10,Sample X46,WL493,12,35762,12
D11,Sample X47,WL493,12,36283,12
D12,Sample X48,WL493,12,36226,12
E01,Sample X49,WL493,12,36241,12
E02,Sample X50,WL493,12,35578,12
E03,Sample X51,WL493,12,35494,12
E04,Sample X52,WL493,12,35618,12
E05,Sample X53,WL493,12,35937,12
E06,Sample X54,WL493,12,35477,12
E07,Sample X55,WL493,12,35654,12
E08,Sample X56,WL493,12,35610,12
E09,Sample X57,WL493,12,35569,12
E10,Sample X58,WL493,12,35608,12
E11,Sample X59,WL493,12,35716,12
E12,Sample X60,WL493,12,35410,12
F01,Sample X61,WL493,12,35739,12
F02,Sample X62,WL493,12,36010,12
F03,Sample X63,WL493,12,35549,12
F04,Sample X64,WL493,12,35537,12
F05,Sample X65,WL493,12,35453,12
F06,Sample X66,WL493,12,35258,12
F07,Sample X67,WL493,12,35814,12
F08,Sample X68,WL493,12,35852,12
F09,Sample X69,WL493,12,35768,12
F10,Sample X70,WL493,12,35917,12
F11,Sample X71,WL493,12,35512,12
F12,Sample X72,WL493,12,35592,12
G01,Sample X73,WL493,12,36161,12
G02,Sample X74,WL493,12,35921,12
G03,Sample X75,WL493,12,35652,12
G04,Sample X76,WL493,12,35617,12
G05,Sample X77,WL493,12,35117,12
G06,Sample X78,WL493,12,35688,12
G07,Sample X79,WL493,12,36169,12
G08,Sample X80,WL493,12,35819,12
G09,Sample X81,WL493,12,35404,12
G10,Sample X82,WL493,12,35789,12
G11,Sample X83,WL493,12,36024,12
G12,Sample X84,WL493,12,35508,12
H01,Sample X85,WL493,12,35745,12
H02,Sample X86,WL493,12,35982,12
H03,Sample X87,WL493,12,35381,12
H04,Sample X88,WL493,12,35791,12
H05,Sample X89,WL493,12,35442,12
H06,Sample X90,WL493,12,35784,12
H07,Sample X91,WL493,12,35460,12
H08,Sample X92,WL493,12,36086,12
H09,Sample X93,WL493,12,35852,12
H10,Sample X94,WL493,12,35185,12
H11,Sample X95,WL493,12,35200,12
H12,Sample X96,WL493,12,35119,12
A01,Sample X1,WL493,18,36793,18
A02,Sample X2,WL493,18,36557,18
A03,Sample X3,WL493,18,36934,18
A04,Sample X4,WL493,18,35844,18
A05,Sample X5,WL493,18,36087,18
A06,Sample X6,WL493,18,35450,18
A07,Sample X7,WL493,18,35847,18
A08,Sample X8,WL493,18,35765,18
A09,Sample X9,WL493,18,36492,18
A10,Sample X10,WL493,18,35499,18
A11,Sample X11,WL493,18,35537,18
A12,Sample X12,WL493,18,36442,18
B01,Sample X13,WL493,18,36087,18
B02,Sample X14,WL493,18,35869,18
B03,Sample X15,WL493,18,35787,18
B04,Sample X16,WL493,18,35952,18
B05,Sample X17,WL493,18,36093,18
B06,Sample X18,WL493,18,36404,18
B07,Sample X19,WL493,18,35812,18
B08,Sample X20,WL493,18,35829,18
B09,Sample X21,WL493,18,36720,18
B10,Sample X22,WL493,18,35674,18
B11,Sample X23,WL493,18,35173,18
B12,Sample X24,WL493,18,35495,18
C01,Sample X25,WL493,18,35758,18
C02,Sample X26,WL493,18,35880,18
C03,Sample X27,WL493,18,36004,18
C04,Sample X28,WL493,18,35588,18
C05,Sample X29,WL493,18,35768,18
C06,Sample X30,WL493,18,35577,18
C07,Sample X31,WL493,18,35391,18
C08,Sample X32,WL493,18,35832,18
C09,Sample X33,WL493,18,35727,18
C10,Sample X34,WL493,18,35860,18
C11,Sample X35,WL493,18,35659,18
C12,Sample X36,WL493,18,36290,18
D01,Sample X37,WL493,18,36021,18
D02,Sample X38,WL493,18,35676,18
D03,Sample X39,WL493,18,36086,18
D04,Sample X40,WL493,18,35855,18
D05,Sample X41,WL493,18,35488,18
D06,Sample X42,WL493,18,35054,18
D07,Sample X43,WL493,18,35003,18
D08,Sample X44,WL493,18,35885,18
D09,Sample X45,WL493,18,35766,18
D10,Sample X46,WL493,18,35356,18
D11,Sample X47,WL493,18,35938,18
D12,Sample X48,WL493,18,35708,18
E01,Sample X49,WL493,18,36420,18
E02,Sample X50,WL493,18,35331,18
E03,Sample X51,WL493,18,35296,18
E04,Sample X52,WL493,18,35752,18
E05,Sample X53,WL493,18,35775,18
E06,Sample X54,WL493,18,35287,18
E07,Sample X55,WL493,18,35768,18
E08,Sample X56,WL493,18,35583,18
E09,Sample X57,WL493,18,35465,18
E10,Sample X58,WL493,18,36098,18
E11,Sample X59,WL493,18,35633,18
E12,Sample X60,WL493,18,35701,18
F01,Sample X61,WL493,18,35358,18
F02,Sample X62,WL493,18,35751,18
F03,Sample X63,WL493,18,35407,18
F04,Sample X64,WL493,18,35531,18
F05,Sample X65,WL493,18,35046,18
F06,Sample X66,WL493,18,34722,18
F07,Sample X67,WL493,18,35469,18
F08,Sample X68,WL493,18,35205,18
