time,OD,well,OD_blank_normalised,experiment,plate
720,6.443,A03,FALSE,190831,2
735,6.458,A03,FALSE,190831,2
750,6.477,A03,FALSE,190831,2
765,6.496,A03,FALSE,190831,2
780,6.505,A03,FALSE,190831,2
795,6.551,A03,FALSE,190831,2
810,6.539,A03,FALSE,190831,2
825,6.532,A03,FALSE,190831,2
840,6.585,A03,FALSE,190831,2
855,6.581,A03,FALSE,190831,2
870,6.549,A03,FALSE,190831,2
885,6.575,A03,FALSE,190831,2
900,6.58,A03,FALSE,190831,2
915,6.575,A03,FALSE,190831,2
930,6.595,A03,FALSE,190831,2
945,6.579,A03,FALSE,190831,2
960,6.598,A03,FALSE,190831,2
0,0.328,A04,FALSE,190831,2
15,0.332,A04,FALSE,190831,2
30,0.335,A04,FALSE,190831,2
45,0.332,A04,FALSE,190831,2
60,0.339,A04,FALSE,190831,2
75,0.341,A04,FALSE,190831,2
90,0.337,A04,FALSE,190831,2
105,0.338,A04,FALSE,190831,2
120,0.33,A04,FALSE,190831,2
135,0.34,A04,FALSE,190831,2
150,0.34,A04,FALSE,190831,2
165,0.336,A04,FALSE,190831,2
180,0.339,A04,FALSE,190831,2
195,0.346,A04,FALSE,190831,2
210,0.358,A04,FALSE,190831,2
225,0.376,A04,FALSE,190831,2
240,0.39,A04,FALSE,190831,2
255,0.433,A04,FALSE,190831,2
270,0.479,A04,FALSE,190831,2
285,0.563,A04,FALSE,190831,2
300,0.691,A04,FALSE,190831,2
315,0.853,A04,FALSE,190831,2
330,1.079,A04,FALSE,190831,2
345,1.239,A04,FALSE,190831,2
360,1.757,A04,FALSE,190831,2
375,2.15,A04,FALSE,190831,2
390,2.576,A04,FALSE,190831,2
405,3.088,A04,FALSE,190831,2
420,3.548,A04,FALSE,190831,2
435,4.133,A04,FALSE,190831,2
450,4.109,A04,FALSE,190831,2
465,4.306,A04,FALSE,190831,2
480,4.51,A04,FALSE,190831,2
495,4.732,A04,FALSE,190831,2
510,4.878,A04,FALSE,190831,2
525,5.077,A04,FALSE,190831,2
540,5.234,A04,FALSE,190831,2
555,5.353,A04,FALSE,190831,2
570,5.487,A04,FALSE,190831,2
585,5.621,A04,FALSE,190831,2
600,5.727,A04,FALSE,190831,2
615,5.833,A04,FALSE,190831,2
630,5.904,A04,FALSE,190831,2
645,5.986,A04,FALSE,190831,2
660,6.045,A04,FALSE,190831,2
675,6.082,A04,FALSE,190831,2
690,6.126,A04,FALSE,190831,2
705,6.158,A04,FALSE,190831,2
720,6.224,A04,FALSE,190831,2
735,6.269,A04,FALSE,190831,2
750,6.304,A04,FALSE,190831,2
765,6.353,A04,FALSE,190831,2
780,6.381,A04,FALSE,190831,2
795,6.448,A04,FALSE,190831,2
810,6.507,A04,FALSE,190831,2
825,6.54,A04,FALSE,190831,2
840,6.583,A04,FALSE,190831,2
855,6.61,A04,FALSE,190831,2
870,6.648,A04,FALSE,190831,2
885,6.718,A04,FALSE,190831,2
900,6.758,A04,FALSE,190831,2
915,6.773,A04,FALSE,190831,2
930,6.822,A04,FALSE,190831,2
945,6.798,A04,FALSE,190831,2
960,6.878,A04,FALSE,190831,2
0,0.325,A05,FALSE,190831,2
15,0.327,A05,FALSE,190831,2
30,0.344,A05,FALSE,190831,2
45,0.333,A05,FALSE,190831,2
60,0.326,A05,FALSE,190831,2
75,0.327,A05,FALSE,190831,2
90,0.331,A05,FALSE,190831,2
105,0.327,A05,FALSE,190831,2
120,0.33,A05,FALSE,190831,2
135,0.327,A05,FALSE,190831,2
150,0.319,A05,FALSE,190831,2
165,0.324,A05,FALSE,190831,2
180,0.323,A05,FALSE,190831,2
195,0.326,A05,FALSE,190831,2
210,0.324,A05,FALSE,190831,2
225,0.32,A05,FALSE,190831,2
240,0.314,A05,FALSE,190831,2
255,0.319,A05,FALSE,190831,2
270,0.32,A05,FALSE,190831,2
285,0.323,A05,FALSE,190831,2
300,0.322,A05,FALSE,190831,2
315,0.32,A05,FALSE,190831,2
330,0.321,A05,FALSE,190831,2
345,0.332,A05,FALSE,190831,2
360,0.318,A05,FALSE,190831,2
375,0.325,A05,FALSE,190831,2
390,0.324,A05,FALSE,190831,2
405,0.321,A05,FALSE,190831,2
420,0.324,A05,FALSE,190831,2
435,0.324,A05,FALSE,190831,2
450,0.326,A05,FALSE,190831,2
465,0.311,A05,FALSE,190831,2
480,0.314,A05,FALSE,190831,2
495,0.313,A05,FALSE,190831,2
510,0.316,A05,FALSE,190831,2
525,0.321,A05,FALSE,190831,2
540,0.316,A05,FALSE,190831,2
555,0.315,A05,FALSE,190831,2
570,0.311,A05,FALSE,190831,2
