well,sample.x,wave_length,time,f_signal,timepoint,well_row,well_col,sample.y,f_signal_endpoint_493,f_signal_endpoint_535,total_cell_death,zero_cell_death,pct_death,sample_id,replicate,plate_number,exp
A01,Sample X1,WL535,1188,25404,1188,A,01,Sample X1,29977,26804,33260,21304,0.34292405486784877,BPH2750,2,2,exp190909
A01,Sample X1,WL535,72,23350,72,A,01,Sample X1,29977,26804,33260,21304,0.17112746738039478,BPH2750,2,2,exp190909
A01,Sample X1,WL535,816,24734,816,A,01,Sample X1,29977,26804,33260,21304,0.28688524590163933,BPH2750,2,2,exp190909
A01,Sample X1,WL535,558,24529,558,A,01,Sample X1,29977,26804,33260,21304,0.2697390431582469,BPH2750,2,2,exp190909
A01,Sample X1,WL535,186,24209,186,A,01,Sample X1,29977,26804,33260,21304,0.2429742388758782,BPH2750,2,2,exp190909
A01,Sample X1,WL535,300,24784,300,A,01,Sample X1,29977,26804,33260,21304,0.29106724657075944,BPH2750,2,2,exp190909
A01,Sample X1,WL535,414,24265,414,A,01,Sample X1,29977,26804,33260,21304,0.24765807962529274,BPH2750,2,2,exp190909
A01,Sample X1,WL535,786,24734,786,A,01,Sample X1,29977,26804,33260,21304,0.28688524590163933,BPH2750,2,2,exp190909
A01,Sample X1,WL535,900,25344,900,A,01,Sample X1,29977,26804,33260,21304,0.33790565406490464,BPH2750,2,2,exp190909
A01,Sample X1,WL535,528,24812,528,A,01,Sample X1,29977,26804,33260,21304,0.2934091669454667,BPH2750,2,2,exp190909
A01,Sample X1,WL535,642,24460,642,A,01,Sample X1,29977,26804,33260,21304,0.2639678822348612,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1014,25248,1014,A,01,Sample X1,29977,26804,33260,21304,0.329876212780194,BPH2750,2,2,exp190909
A01,Sample X1,WL535,756,24882,756,A,01,Sample X1,29977,26804,33260,21304,0.29926396788223486,BPH2750,2,2,exp190909
A01,Sample X1,WL535,870,24793,870,A,01,Sample X1,29977,26804,33260,21304,0.29182000669120106,BPH2750,2,2,exp190909
A01,Sample X1,WL535,498,24736,498,A,01,Sample X1,29977,26804,33260,21304,0.28705252592840413,BPH2750,2,2,exp190909
A01,Sample X1,WL535,984,25238,984,A,01,Sample X1,29977,26804,33260,21304,0.32903981264637,BPH2750,2,2,exp190909
