sample_id,mean_pct_death,sd_pct_death,mean_max_tox,sd_max_tox,mean_max_tox_rate,sd_max_tox_rate,mean_AUC,sd_AUC,mean_f_signal_endpoint_535,sd_f_signal_endpoint_535,mean_LDH,sd_LDH,exp
BPH2741,0.2694269278668433,0.08529326638600442,23929.477101695637,2447.119659318249,13.009124929961569,4.363376783584386,29544322.773335397,2593644.2587011526,31742,3771.59820235401,0.51,0.18404075635575942,exp190831
BPH2742,0.07880483128076383,0.021412282923626992,18860.242206163217,523.7281880326715,2.8594190833454927,0.8560406943463306,24276112.117062636,605466.6442624836,22553,924.4322581995935,0.021666666666666664,0.04816983841921553,exp190831
BPH2743,0.28809773261905236,0.015181766066380692,23876.599778210424,562.9621913688443,11.18667146886867,0.7460781368276164,29797966.51148004,654031.3597952168,29581.333333333332,394.79657208913727,0.7386666666666667,0.06565312889218101,exp190831
BPH2744,0.44192183762626763,0.10546019578834663,27482.789445002225,2837.220224999928,9.67226030638522,2.344491252103257,35048508.15641975,3492854.2226365963,32389.666666666668,4371.317917211391,1.022,0.2110900281870273,exp190831
BPH2745,0.20231482396663175,0.04750055506079747,22369.00967414245,1652.509792889999,7.925482786146531,2.140727504784336,28206938.55433732,1883561.5814662573,28128.666666666668,3232.159701087391,0.41333333333333333,0.2261776587847114,exp190831
BPH2746,0.44157589894636967,0.07062367990241956,27309.678512302475,2013.6300733260962,13.01940083572206,1.8422522903411276,34115901.720315844,2479817.6337979264,34605,1825.5949715092886,1.1566666666666667,0.22784717100138274,exp190831
BPH2747,0.2664518552197205,0.060801329552567826,22798.776962715896,1495.1211560011752,12.376475742126901,4.631131230831734,28156272.23726484,1290427.3753572218,30584,3510.7896547642954,0.322,0.08808518604169488,exp190831
BPH2748,0.2780753948642932,0.09698926861805827,22968.244592026036,2013.9515609409036,11.624776839948456,5.348538015168243,28513870.717174154,1969171.214402247,29561.666666666668,3768.1316767508715,0.371,0.14065205295337854,exp190831
BPH2749,0.452033131041572,0.0042723762815003495,29501.50922110312,530.9915317739956,5.983344549659315,0.7351467272827158,37814618.8193644,596988.8714624159,32294.666666666668,209.42858766971935,1.5663333333333334,0.06678572701807879,exp190831
BPH2750,0.22828987684582996,0.03431707292102138,22619.83742816041,1378.772654044871,9.067258812658308,2.5404766488481614,28380024.872343253,1501006.7624422568,28475,3037.470164462525,0.5563333333333333,0.14854067905235027,exp190831
BPH2751,0.2096289560559037,0.048505460060807984,22384.030996029454,1238.2527183548775,9.292973177220508,3.9023269695946614,28020644.294228155,1126572.968225383,28537,3139.9425153973757,0.5043333333333333,0.16705188814656763,exp190831
BPH2752,0.23264870421254474,0.05113336992325345,22744.595827827736,1617.2407795294966,6.318178558405298,1.2653721948611143,28953289.340664312,1966845.4989079274,27321.666666666668,2503.2301798542885,0.6263333333333333,0.19951023365565318,exp190831
BPH2753,0.5296716547729654,0.03866823198074195,30251.602044848933,915.2858592245043,31.831580157887085,1.1397367646147705,35319032.80030229,1276751.9268753773,44363,106.45186705737011,0.5353333333333333,0.05345403009440293,exp190831
BPH2754,0.2855674382746556,0.039199416847397577,23722.135304573298,903.0147354216589,9.80792353228531,0.48186281035196443,29765586.73978239,1131143.5896830342,28995,1019.9946078288846,0.6733333333333333,0.12973177457097135,exp190831
BPH2755,0.4055785083124123,0.03211543013069641,27226.04840441765,716.4373803617676,14.047839663770832,2.8828203391869924,33777769.15230049,697327.1010314976,35590,2347.3502082135083,1.026,0.09258509599282173,exp190831
JE2,0.33130053175717084,0.0383557557900264,25338.603347968314,1100.7346519530336,6.824189157628488,1.4564901031091704,32460175.387690183,1386382.7354635156,29516,1418.3032115877056,0.9683333333333334,0.09582449234581594,exp190831
Non infected,0.08316365864747861,0.02540085811107272,18999.9450766241,685.6279198441724,3.2212323639446225,0.6827924057502962,24388924.67990984,796388.6232108,22265,1014.6467365541565,0,0,exp190831
Total LDH,0.0699389171130923,0.01540372950703718,18612.959919231092,452.42319955210735,3.907263104310767,0.5527084241142135,23820723.10423691,512330.8079389573,50191.666666666664,5489.2103560834075,1.859,1.9502892093225557,exp190831
TOX-4,0.058394449166781985,0.009055160637064179,18286.14643217405,138.20494479725215,2.44966334308705,0.4787781224256331,23598992.916162793,191747.76959743124,21296.333333333332,271.5903778364273,-0.018,0.026962937525425525,exp190831
