"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2740","exp190831_2_A02",339,0.00152444546721647,454.697125828821,77.7718003987415,1152,0.830426049456334,126,-0.0210069163115164,0.830426049456334,1152,"exp190831","A02","A",4,40000,"2",2,"VAN-030",0.0470879811669995,FALSE,FALSE,FALSE,0,0,0,FALSE,"12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA
"BPH2741","exp190831_2_B11",450,0.00145294082530341,478.251764449504,97.4155730055906,1152,1.16174968371105,117,-0.030665529193027,1.16174968371105,1152,"exp190831","B11","B",5,40000,"2",2,"VAN-031",0.0369891394916368,FALSE,FALSE,FALSE,0,0,0,FALSE,"109",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2742","exp190831_2_A06",327,0.000440146158716561,1756.67029023008,18.1069460189535,1152,0.173668297473708,153,-0.0270776831610228,0.16431181984738,1152,"exp190831","A06","A",7,40000,"2",2,"VAN-032",0.0343737724348343,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2743","exp190831_2_F03",384,0.0023403436491703,377.786274977393,122.560897327851,1152,1.14340816975298,96,-0.0293888384684997,1.14340816975298,1152,"exp190831","F03","F",6,40000,"2",2,"VAN-033",0.0355367515906344,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2744","exp190831_2_F10",402,0.00229269818511728,302.328141165467,104.830062464214,798,0.872093164858286,126,-0.0427945819298959,0.766352156246015,1152,"exp190831","F10","F",10,40000,"2",2,"VAN-034",0.0326710580673251,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2745","exp190831_2_A12",282,0.000941742350019777,753.16450331948,61.5742911069173,1152,0.616658459537235,96,-0.0265441136263185,0.616658459537235,1152,"exp190831","A12","A",11,40000,"2",2,"VAN-035",0.0745585197413818,FALSE,FALSE,FALSE,0,0,0,FALSE,"72",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2746","exp190831_2_C08",348,0.00215716545055116,321.323142081126,97.3621242475902,984,0.922547854564459,84,-0.0490501082041545,0.922547854564459,1152,"exp190831","C08","C",9,40000,"2",2,"VAN-037",0.0456115407131789,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2747","exp190831_2_A09",831,0.00129504787972346,535.925500367748,46.9307999012752,1152,0.745443767397916,162,-0.0383186376499175,0.745443767397916,1152,"exp190831","A09","A",9,40000,"2",2,"VAN-038",0.0437518911794815,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2748","exp190831_2_E03",792,0.00138002417156409,502.271768018634,57.0733915185217,1152,0.766727519072237,156,0.0108767366131689,0.766727519072237,1152,"exp190831","E03","E",3,40000,"2",2,"VAN-038",0.0299887193714173,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,NA,0,TRUE,0,2,FALSE,0,NA,8,"paired-colonising",NA
"BPH2749","exp190831_2_C06",423,0.00491089180278899,143.87106140544,168.224672745328,705,1.52947572865928,141,-0.0346835133283287,1.06446744073196,1152,"exp190831","C06","C",6,40000,"2",2,"VAN-039",0.030379663714144,FALSE,FALSE,FALSE,0,0,0,FALSE,"20",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2750","exp190831_2_A01",510,0.002232512378662,387.494075878729,112.387784835775,954,1.04032792464285,111,-0.0149586755462096,0.862481132279821,1152,"exp190831","A01","A",3,40000,"2",2,"VAN-040",0.0606617729333674,FALSE,FALSE,FALSE,0,0,0,FALSE,"39",0,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2751","exp190831_2_B10",543,0.00173539948994029,464.444382340312,94.7151209347046,1095,0.959979696967618,114,-0.0291914023450925,0.762275607115622,1152,"exp190831","B10","B",10,40000,"2",2,"VAN-040",0.0461807496365617,FALSE,FALSE,FALSE,0,0,0,FALSE,"39",0,NA,0,TRUE,0,1,FALSE,0.5,"Relapse (on treatment)",4,"paired-invasive","prfA"
"BPH2752","exp190831_2_B01",438,0.0016233815652994,426.977363410005,93.5225199608621,906,0.782187070670557,120,-0.00420367236690504,0.76654469339149,1152,"exp190831","B01","B",3,40000,"2",2,"VAN-041",0.0556242716542876,FALSE,FALSE,FALSE,0,0,0,FALSE,"30",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2753","exp190831_2_B05",798,0.00290922401478411,238.30855995071,120.187494441846,1152,1.8034839071563,117,-0.0137849089972595,1.8034839071563,1152,"exp190831","B05","B",2,40000,"2",2,"VAN-042",0.0407465440248053,FALSE,FALSE,FALSE,0,0,0,FALSE,"121",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2754","exp190831_2_F05",330,0.00314303660057194,300.837018595554,151.051436166459,1113,1.19875082548492,57,-0.0558340260212727,1.18636530781197,1152,"exp190831","F05","F",5,40000,"2",2,"VAN-043",0.0588952518810402,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2755","exp190831_2_A08",327,0.00239502888322393,295.232778896781,139.244825904665,1152,1.29204522180857,42,-0.0269239881112987,1.29204522180857,1152,"exp190831","A08","A",8,40000,"2",2,"VAN-043",0.065355100858673,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,NA,0,TRUE,0,0,FALSE,-0.25,"Persistent",3,"paired-invasive",NA
"BPH2756","exp191109_3_A03",372,0.00226167537567198,306.501625572112,135.190726445268,1152,1.34147686068006,99,-0.0429539575801678,1.34147686068006,1152,"exp191109","A03","A",7,40000,"3",2,"VAN-044",0.0281182037749233,FALSE,FALSE,FALSE,0,0,0,FALSE,"567",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2757","exp191109_3_C10",378,0.00197412138954041,356.724773036126,116.108467126533,1152,1.26325476323068,117,-0.0411155087762966,1.26325476323068,1152,"exp191109","C10","C",9,40000,"3",2,"VAN-045",0.0374378259561955,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2758","exp191109_3_B02",816,0.000980628336442331,708.922827872682,44.6523015047193,1152,0.661709242273594,171,-0.0367504776859716,0.661709242273594,1152,"exp191109","B02","B",3,40000,"3",2,"VAN-046",0.0775826989488234,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2759","exp191109_3_E08",495,0.00315126038819968,220.024978065728,138.082492483855,1026,1.36337420446262,126,-0.0707878153789195,1.34423419813304,1152,"exp191109","E08","E",8,40000,"3",1.5,"VAN-047",0.0224151104725856,FALSE,FALSE,FALSE,0,0,0,FALSE,"30",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2760","exp191109_3_A07",282,0.00199826929120207,348.428307880062,93.229370634001,1035,0.689452400343891,60,-0.0166253157641764,0.685828888012354,1152,"exp191109","A07","A",7,40000,"3",2,"VAN-048",0.0345613242361892,FALSE,FALSE,FALSE,0,0,0,FALSE,"1",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2761","exp191109_3_E09",366,0.000834152409114445,830.959873742744,41.52311662964,1152,0.46903430433439,144,-0.045673636021107,0.46903430433439,1152,"exp191109","E09","E",9,40000,"3",2,"VAN-049",0.0289238419482385,FALSE,FALSE,FALSE,0,0,0,FALSE,"30",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2762","exp191109_3_A11",444,0.00150129757304244,461.706297774793,97.8061867271572,1152,1.14694613011258,108,0.010140420243463,1.14694613011258,1152,"exp191109","A11","A",8.5,40000,"3",2.5,"VAN-049",0.303238625783615,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2763","exp191109_3_D04",342,0.000523926763173148,1322.98486979729,9.11424292864963,948,0.125274467599902,144,-0.0646776907851711,0.0929553205374291,1152,"exp191109","D04","D",5,40000,"3",2,"VAN-050",0.0264882258938443,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2764","exp191109_3_G10",354,0.00339434989485152,204.206166727625,168.416844509785,864,1.34588096588679,54,0.00829623482986777,1.25050414502941,1152,"exp191109","G10","G",10,40000,"3",2,"VAN-050",0.153403511042312,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,NA,0,TRUE,0,29,FALSE,0,NA,-3,"paired-colonising","hypothetical protein / superantigen-like protein / accB_1 / grsB / Transcriptional regulator / cydD / pepT_2 / yveA / pbuE / Putative esterase / Replication initiation and membrane attachment"
"BPH2765","exp191109_3_C02",591,0.000848941876238656,818.101076032531,39.2933798185358,1152,0.500527662153946,183,-0.0189243089404247,0.500527662153946,1152,"exp191109","C02","C",2,40000,"3",2,"VAN-051",0.0442437728108456,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2766","exp191109_3_B08",654,0.00123625363222092,560.683635213844,48.3677575984928,1152,0.697802067437358,186,-0.0767413844681026,0.697802067437358,1152,"exp191109","B08","B",7,40000,"3",2,"VAN-052",0.0295780645387945,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
