"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2725","exp191115_1_B05",376.8,0.00178832969986914,393.911080065651,92.2594807399871,1074,0.76554121610838,118.8,0.0205445473712207,0.76309278945438,1152,"exp191115","B05","B",2.8,40000,"1",2,"VAN-022",0.0197773498239656,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2726","exp191115_1_F05",736,0.000833938687573158,928.916802221183,15.2514944160962,1091.33333333333,0.377495313262038,249.333333333333,-0.0804423081765705,0.371521993395893,1152,"exp191115","F05","F",5.88888888888889,40000,"1",2,"VAN-023",0.0298571548208739,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2727","exp191115_1_A08",725.25,0.000835835896542774,1343.17359895852,28.1448072734303,1124.25,0.480950416749978,215.25,-0.0287045350830231,0.478905676833278,1152,"exp191115","A08","A",7.625,40000,"1",1.875,"VAN-023",0.0439248800378639,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",0,NA,0,TRUE,0,16,FALSE,0.5,NA,0,"paired-colonising","pglF / AAA-like domain protein / ebh_1 / norB_6 / tatC2 / yhfS / hypothetical protein"
"BPH2728","exp190831_2_A03",439.333333333333,0.00395367147893684,192.171235491362,128.02071883954,805.333333333333,1.22065223211152,155.333333333333,-0.0538001228552964,0.929458009374361,1152,"exp190831","A03","A",7.33333333333333,40000,"2",2,"VAN-024",0.0304057053844575,FALSE,FALSE,FALSE,0,0.0023028209556707,0.00287852619458837,FALSE,"45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2729","exp190831_2_C10",622.666666666667,0.000618926267750601,1171.09416878952,15.1857425530593,1060.66666666667,0.250830842717468,186.666666666667,-0.0614575432466345,0.242140425462381,1152,"exp190831","C10","C",8.11111111111111,40000,"2",2,"VAN-024",0.0274531663749368,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",1,NA,0,TRUE,0,5,TRUE,1.25,"Relapse (after treatment)",38,"paired-invasive","ptsG_3 / rpoB / rplV / rplD"
"BPH2730","exp190831_2_B02",441.333333333333,0.00405044703050616,186.330963720974,134.809605474021,744.666666666667,1.23968645981879,156,-0.0229891805132904,0.919771822140807,1152,"exp190831","B02","B",3.11111111111111,40000,"2",2,"VAN-024",0.0396209994736145,FALSE,FALSE,FALSE,0,0.00172711571675302,0,FALSE,"45",1,NA,0,TRUE,0,0,FALSE,0.75,NA,-13,"paired-colonising",NA
"BPH2731","exp190831_2_E08",357,0.000634830492827404,1107.62928668153,16.4303720573114,1119,0.180575456896369,171,-0.051058745847583,0.179990006961373,1152,"exp190831","E08","E",8,40000,"2",2,"VAN-025",0.0471528570328044,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2732","exp190831_2_A07",316,0.00498804194962846,145.4486567254,181.417882257757,596,1.46132099753098,57,-0.0422791393273662,1.02205038670913,1152,"exp190831","A07","A",7.33333333333333,40000,"2",2,"VAN-026",0.053487003825231,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2733","exp190831_2_D09",304,0.00580951923805981,120.249916982372,187.268446107376,547,1.56476326052585,58,-0.0777908421178847,0.935424246120277,1152,"exp190831","D09","D",9,40000,"2",2,"VAN-026",0.046397593495903,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,NA,0,TRUE,0,0,FALSE,0,"Relapse (on treatment)",4,"paired-invasive",NA
"BPH2734","exp190831_2_A11",464,0.00020648455250922,4118.51947581879,9.30409537247135,1145,0.116560685414343,144,-0.0120768105211122,0.116499341367352,1152,"exp190831","A11","A",6,40000,"2",2,"VAN-026",0.0353630887276263,FALSE,FALSE,FALSE,0,0,0,FALSE,"34",0,NA,0,FALSE,1,NA,FALSE,0,NA,-58,"paired-colonising",NA
"BPH2735","exp190831_2_D04",635,0.000956873001796832,730.573967302839,48.8737374185534,1052,0.536680206498926,146,-0.0380712814879101,0.520514102251054,1152,"exp190831","D04","D",6,40000,"2",2,"VAN-027",0.0431678096107613,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2736","exp190831_2_C07",298,0.00187673134413195,375.190551130697,59.7257210021189,602,0.46285227705137,94,-0.0431837925561637,0.385290899686426,1152,"exp190831","C07","C",7.33333333333333,40000,"2",2,"VAN-028",0.0323993943423014,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
