"well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","sample_id","well_row","well_col","well","experiment","plate","replicate","strain_group.x","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group.y","ST.x","mecA.x","mortality.x","intrahost_index.x","included.x","unrelated_to_index.x","mut_count.x","scv.x","vanco_difference.x","persister_type.x","intrahost_sampledelay.x","sample_type.x","genes.x","strain_group","ST.y","mecA.y","mortality.y","intrahost_index.y","included.y","unrelated_to_index.y","mut_count.y","scv.y","vanco_difference.y","persister_type.y","intrahost_sampledelay.y","sample_type.y","genes.y","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"exp200313_M2_E12",360,0.0221647385575369,31.2725177768563,106.553333333333,930,6.14416121854638,30,0.0136848330939487,6.14416121854638,930,"BPH3680","E",12,"E12","exp200313","M2",3,"VSS-503",0.781796861936228,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-503","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-503","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F01",360,0.0230902502823758,30.0190414604994,100.423333333333,930,5.58826603606692,30,0.00992767010888431,5.58826603606692,930,"BPH3712","F",1,"F01","exp200313","M2",1,"VSS-547",0.39071600939813,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-547","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-547","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F02",390,0.025584426788137,27.0925429090068,108.383333333333,930,7.02495456238964,60,-0.00454444782098279,7.02495456238964,930,"BPH3680","F",2,"F02","exp200313","M2",1,"VSS-503",0.0167431578064991,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-503","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-503","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F03",330,0.0283855576799146,24.4190087218336,110.452333333333,930,6.00203015047098,60,-0.00855443548771818,6.00203015047098,930,"BPH3617","F",3,"F03","exp200313","M2",2,"VSS-436",0.109335873954221,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-436","45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-436","45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F04",270,0.0299252330092256,23.1626326968367,130.175333333333,840,6.348041352984,30,0.00249523587276376,6.336951264936,930,"BPH3690","F",4,"F04","exp200313","M2",1,"VSS-515",0.507909768889449,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-515","22",1,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VSS-515","22",1,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"22",1,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"exp200313_M2_F05",240,0.0274240384136034,25.2751680881586,130.520333333333,810,5.96756820536867,30,0.0123119543020772,5.89982444917894,930,"BPH3723","F",5,"F05","exp200313","M2",2,"VSS-558",0.232981401260559,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-558","1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-558","1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F06",270,0.0282006046981276,24.5791601981488,124.283333333333,810,5.97457241369528,0,0.0101670192387924,5.89452332249172,930,"BPH3723","F",6,"F06","exp200313","M2",1,"VSS-558",0.0372692903071683,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-558","1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-558","1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F07",300,0.0283458915601856,24.4531797170047,117.692333333333,930,6.00408803250474,30,0.0223846596416167,6.00408803250474,930,"BPH3617","F",7,"F07","exp200313","M2",3,"VSS-436",0.0502692749102271,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-436","45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-436","45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F08",270,0.0290902828868498,23.8274472357669,125.465333333333,810,6.2220765460506,30,0.00124780906098612,6.21651199931662,930,"BPH3504","F",8,"F08","exp200313","M2",3,"VSS-308",0.0276827262626592,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-308","78",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-308","78",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F09",270,0.0280697987143427,24.6936997166912,127.103333333333,930,6.15162402243532,30,0.00313230624128681,6.15162402243532,930,"BPH3515","F",9,"F09","exp200313","M2",1,"VSS-319",0.165590861261524,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-319","22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-319","22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
