well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
H06,18655,0,H,06,exp200313,40000,M2,exp200313_M2_H06,BPH3521,1,VSS-325
H07,15809,0,H,07,exp200313,40000,M2,exp200313_M2_H07,BPH3478,2,VSS-282
H08,16138,0,H,08,exp200313,40000,M2,exp200313_M2_H08,BPH3644,2,VSS-463
H09,16890,0,H,09,exp200313,40000,M2,exp200313_M2_H09,BPH3478,1,VSS-282
H10,30991,0,H,10,exp200313,40000,M2,exp200313_M2_H10,Complete lysis,1,CONTROL
H11,32207,0,H,11,exp200313,40000,M2,exp200313_M2_H11,Complete lysis,2,CONTROL
H12,31401,0,H,12,exp200313,40000,M2,exp200313_M2_H12,Complete lysis,3,CONTROL
A01,16436,6,A,01,exp200313,40000,M2,exp200313_M2_A01,BPH3690,2,VSS-515
A02,14648,6,A,02,exp200313,40000,M2,exp200313_M2_A02,BPH3563,3,VSS-370
A03,15905,6,A,03,exp200313,40000,M2,exp200313_M2_A03,BPH3455,1,VSS-259
A04,15388,6,A,04,exp200313,40000,M2,exp200313_M2_A04,BPH3560,1,VSS-367
A05,17345,6,A,05,exp200313,40000,M2,exp200313_M2_A05,JE2,3,CONTROL
A06,16823,6,A,06,exp200313,40000,M2,exp200313_M2_A06,BPH3594,1,VSS-403
A07,17297,6,A,07,exp200313,40000,M2,exp200313_M2_A07,BPH3506,2,VSS-310
A08,16162,6,A,08,exp200313,40000,M2,exp200313_M2_A08,BPH3725,1,VSS-560
A09,16269,6,A,09,exp200313,40000,M2,exp200313_M2_A09,BPH3676,2,VSS-497
A10,14785,6,A,10,exp200313,40000,M2,exp200313_M2_A10,BPH3627,3,VSS-446
A11,18538,6,A,11,exp200313,40000,M2,exp200313_M2_A11,BPH3521,3,VSS-325
A12,14700,6,A,12,exp200313,40000,M2,exp200313_M2_A12,BPH3644,3,VSS-463
B01,16823,6,B,01,exp200313,40000,M2,exp200313_M2_B01,BPH3708,2,VSS-543
B02,16708,6,B,02,exp200313,40000,M2,exp200313_M2_B02,BPH3483,1,VSS-287
B03,17303,6,B,03,exp200313,40000,M2,exp200313_M2_B03,BPH3708,1,VSS-543
B04,15900,6,B,04,exp200313,40000,M2,exp200313_M2_B04,BPH3563,1,VSS-370
B05,16028,6,B,05,exp200313,40000,M2,exp200313_M2_B05,BPH3712,3,VSS-547
B06,14554,6,B,06,exp200313,40000,M2,exp200313_M2_B06,Non infected,3,CONTROL
B07,16048,6,B,07,exp200313,40000,M2,exp200313_M2_B07,BPH3594,2,VSS-403
B08,17421,6,B,08,exp200313,40000,M2,exp200313_M2_B08,BPH3549,3,VSS-353
B09,16474,6,B,09,exp200313,40000,M2,exp200313_M2_B09,BPH3560,2,VSS-367
B10,15720,6,B,10,exp200313,40000,M2,exp200313_M2_B10,BPH3698,1,VSS-531
B11,18893,6,B,11,exp200313,40000,M2,exp200313_M2_B11,BPH3572,3,VSS-379
B12,14420,6,B,12,exp200313,40000,M2,exp200313_M2_B12,BPH3563,2,VSS-370
C01,16907,6,C,01,exp200313,40000,M2,exp200313_M2_C01,BPH3521,2,VSS-325
C02,20976,6,C,02,exp200313,40000,M2,exp200313_M2_C02,BPH3541,1,VSS-345
C03,17118,6,C,03,exp200313,40000,M2,exp200313_M2_C03,BPH3690,3,VSS-515
C04,18054,6,C,04,exp200313,40000,M2,exp200313_M2_C04,BPH3708,3,VSS-543
C05,18237,6,C,05,exp200313,40000,M2,exp200313_M2_C05,BPH3572,1,VSS-379
C06,16409,6,C,06,exp200313,40000,M2,exp200313_M2_C06,BPH3681,3,VSS-504
C07,20436,6,C,07,exp200313,40000,M2,exp200313_M2_C07,BPH3533,1,VSS-337
C08,16582,6,C,08,exp200313,40000,M2,exp200313_M2_C08,BPH3646,1,VSS-465
C09,15866,6,C,09,exp200313,40000,M2,exp200313_M2_C09,BPH3646,2,VSS-465
C10,15157,6,C,10,exp200313,40000,M2,exp200313_M2_C10,BPH3478,3,VSS-282
C11,14735,6,C,11,exp200313,40000,M2,exp200313_M2_C11,BPH3676,1,VSS-497
C12,14663,6,C,12,exp200313,40000,M2,exp200313_M2_C12,TOX-4,2,CONTROL
D01,16259,6,D,01,exp200313,40000,M2,exp200313_M2_D01,BPH3725,3,VSS-560
D02,15492,6,D,02,exp200313,40000,M2,exp200313_M2_D02,BPH3698,2,VSS-531
D03,16620,6,D,03,exp200313,40000,M2,exp200313_M2_D03,BPH3676,3,VSS-497
D04,16066,6,D,04,exp200313,40000,M2,exp200313_M2_D04,BPH3525,3,VSS-329
D05,16717,6,D,05,exp200313,40000,M2,exp200313_M2_D05,BPH3549,2,VSS-353
D06,14901,6,D,06,exp200313,40000,M2,exp200313_M2_D06,Non infected,2,CONTROL
D07,17304,6,D,07,exp200313,40000,M2,exp200313_M2_D07,BPH3455,2,VSS-259
D08,17104,6,D,08,exp200313,40000,M2,exp200313_M2_D08,BPH3594,3,VSS-403
D09,16407,6,D,09,exp200313,40000,M2,exp200313_M2_D09,BPH3515,3,VSS-319
D10,15772,6,D,10,exp200313,40000,M2,exp200313_M2_D10,BPH3525,1,VSS-329
D11,15991,6,D,11,exp200313,40000,M2,exp200313_M2_D11,BPH3644,1,VSS-463
D12,15492,6,D,12,exp200313,40000,M2,exp200313_M2_D12,BPH3698,3,VSS-531
E01,16739,6,E,01,exp200313,40000,M2,exp200313_M2_E01,TOX-4,1,CONTROL
E02,16729,6,E,02,exp200313,40000,M2,exp200313_M2_E02,BPH3681,2,VSS-504
E03,16142,6,E,03,exp200313,40000,M2,exp200313_M2_E03,BPH3680,2,VSS-503
