well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
C04,14832,12,C,04,exp200219,40000,P1,exp200219_P1_C04,BPH2980,3,VAN-216
C05,14265,12,C,05,exp200219,40000,P1,exp200219_P1_C05,BPH2727,1,VAN-023
C06,13583,12,C,06,exp200219,40000,P1,exp200219_P1_C06,BPH2726,1,VAN-023
C07,14482,12,C,07,exp200219,40000,P1,exp200219_P1_C07,BPH2726,3,VAN-023
C08,13611,12,C,08,exp200219,40000,P1,exp200219_P1_C08,BPH2728,3,VAN-024
C09,14462,12,C,09,exp200219,40000,P1,exp200219_P1_C09,BPH2982,1,VAN-216
C10,14755,12,C,10,exp200219,40000,P1,exp200219_P1_C10,BPH2979,1,VAN-216
C11,15187,12,C,11,exp200219,40000,P1,exp200219_P1_C11,BPH2764,1,VAN-050
D02,14357,12,D,02,exp200219,40000,P1,exp200219_P1_D02,TOX-4,1,CONTROL
D03,14424,12,D,03,exp200219,40000,P1,exp200219_P1_D03,Non infected,2,CONTROL
D04,14159,12,D,04,exp200219,40000,P1,exp200219_P1_D04,BPH2979,2,VAN-216
D05,13668,12,D,05,exp200219,40000,P1,exp200219_P1_D05,BPH2980,2,VAN-216
D06,13847,12,D,06,exp200219,40000,P1,exp200219_P1_D06,BPH2982,3,VAN-216
D07,14006,12,D,07,exp200219,40000,P1,exp200219_P1_D07,BPH2730,2,VAN-024
D08,14229,12,D,08,exp200219,40000,P1,exp200219_P1_D08,BPH2704,3,VAN-004
D09,14073,12,D,09,exp200219,40000,P1,exp200219_P1_D09,BPH2705,3,VAN-004
D10,14701,12,D,10,exp200219,40000,P1,exp200219_P1_D10,BPH2981,2,VAN-216
D11,14728,12,D,11,exp200219,40000,P1,exp200219_P1_D11,BPH2976,2,VAN-216
E02,14358,12,E,02,exp200219,40000,P1,exp200219_P1_E02,BPH2976,3,VAN-216
E03,14571,12,E,03,exp200219,40000,P1,exp200219_P1_E03,BPH2978,3,VAN-216
E04,14772,12,E,04,exp200219,40000,P1,exp200219_P1_E04,BPH2977,2,VAN-216
E05,14206,12,E,05,exp200219,40000,P1,exp200219_P1_E05,BPH2978,2,VAN-216
E06,14203,12,E,06,exp200219,40000,P1,exp200219_P1_E06,BPH2727,3,VAN-023
E07,13463,12,E,07,exp200219,40000,P1,exp200219_P1_E07,BPH2764,3,VAN-050
E08,14203,12,E,08,exp200219,40000,P1,exp200219_P1_E08,BPH2726,2,VAN-023
E09,13134,12,E,09,exp200219,40000,P1,exp200219_P1_E09,Non infected,1,CONTROL
E10,14128,12,E,10,exp200219,40000,P1,exp200219_P1_E10,BPH2763,1,VAN-050
E11,14363,12,E,11,exp200219,40000,P1,exp200219_P1_E11,JE2,3,CONTROL
F02,15995,12,F,02,exp200219,40000,P1,exp200219_P1_F02,BPH2976,1,VAN-216
F03,13714,12,F,03,exp200219,40000,P1,exp200219_P1_F03,BPH2730,1,VAN-024
F04,13733,12,F,04,exp200219,40000,P1,exp200219_P1_F04,BPH2980,1,VAN-216
F05,13682,12,F,05,exp200219,40000,P1,exp200219_P1_F05,JE2,2,CONTROL
F06,15077,12,F,06,exp200219,40000,P1,exp200219_P1_F06,BPH2704,2,VAN-004
F07,14301,12,F,07,exp200219,40000,P1,exp200219_P1_F07,BPH2728,1,VAN-024
F08,13632,12,F,08,exp200219,40000,P1,exp200219_P1_F08,BPH2729,1,VAN-024
F09,13960,12,F,09,exp200219,40000,P1,exp200219_P1_F09,BPH2727,2,VAN-023
F10,14239,12,F,10,exp200219,40000,P1,exp200219_P1_F10,Non infected,3,CONTROL
F11,15125,12,F,11,exp200219,40000,P1,exp200219_P1_F11,BPH2977,1,VAN-216
G02,18086,12,G,02,exp200219,40000,P1,exp200219_P1_G02,BPH2764,2,VAN-050
G03,13750,12,G,03,exp200219,40000,P1,exp200219_P1_G03,BPH2729,2,VAN-024
G04,13772,12,G,04,exp200219,40000,P1,exp200219_P1_G04,TOX-4,2,CONTROL
G05,13724,12,G,05,exp200219,40000,P1,exp200219_P1_G05,BPH2763,3,VAN-050
G06,14102,12,G,06,exp200219,40000,P1,exp200219_P1_G06,JE2,1,CONTROL
G07,14326,12,G,07,exp200219,40000,P1,exp200219_P1_G07,BPH2981,3,VAN-216
G08,13974,12,G,08,exp200219,40000,P1,exp200219_P1_G08,BPH2705,2,VAN-004
G09,37421,12,G,09,exp200219,40000,P1,exp200219_P1_G09,Complete lysis,1,CONTROL
G10,36106,12,G,10,exp200219,40000,P1,exp200219_P1_G10,Complete lysis,2,CONTROL
G11,37478,12,G,11,exp200219,40000,P1,exp200219_P1_G11,Complete lysis,3,CONTROL
B02,14693,18,B,02,exp200219,40000,P1,exp200219_P1_B02,TOX-4,3,CONTROL
B03,13424,18,B,03,exp200219,40000,P1,exp200219_P1_B03,BPH2705,1,VAN-004
B04,13468,18,B,04,exp200219,40000,P1,exp200219_P1_B04,BPH2979,3,VAN-216
B05,13583,18,B,05,exp200219,40000,P1,exp200219_P1_B05,BPH2704,1,VAN-004
B06,14666,18,B,06,exp200219,40000,P1,exp200219_P1_B06,BPH2978,1,VAN-216
B07,13772,18,B,07,exp200219,40000,P1,exp200219_P1_B07,BPH2763,2,VAN-050
B08,13846,18,B,08,exp200219,40000,P1,exp200219_P1_B08,BPH2981,1,VAN-216
B09,13745,18,B,09,exp200219,40000,P1,exp200219_P1_B09,BPH2728,2,VAN-024
B10,13797,18,B,10,exp200219,40000,P1,exp200219_P1_B10,BPH2729,3,VAN-024
B11,14466,18,B,11,exp200219,40000,P1,exp200219_P1_B11,BPH2977,3,VAN-216
C02,14561,18,C,02,exp200219,40000,P1,exp200219_P1_C02,BPH2730,3,VAN-024
C03,14352,18,C,03,exp200219,40000,P1,exp200219_P1_C03,BPH2982,2,VAN-216
C04,14719,18,C,04,exp200219,40000,P1,exp200219_P1_C04,BPH2980,3,VAN-216
C05,14156,18,C,05,exp200219,40000,P1,exp200219_P1_C05,BPH2727,1,VAN-023
C06,13479,18,C,06,exp200219,40000,P1,exp200219_P1_C06,BPH2726,1,VAN-023
C07,14250,18,C,07,exp200219,40000,P1,exp200219_P1_C07,BPH2726,3,VAN-023
C08,13345,18,C,08,exp200219,40000,P1,exp200219_P1_C08,BPH2728,3,VAN-024
C09,14118,18,C,09,exp200219,40000,P1,exp200219_P1_C09,BPH2982,1,VAN-216
C10,14542,18,C,10,exp200219,40000,P1,exp200219_P1_C10,BPH2979,1,VAN-216
C11,15111,18,C,11,exp200219,40000,P1,exp200219_P1_C11,BPH2764,1,VAN-050
D02,14084,18,D,02,exp200219,40000,P1,exp200219_P1_D02,TOX-4,1,CONTROL
D03,13962,18,D,03,exp200219,40000,P1,exp200219_P1_D03,Non infected,2,CONTROL
D04,13668,18,D,04,exp200219,40000,P1,exp200219_P1_D04,BPH2979,2,VAN-216
D05,13607,18,D,05,exp200219,40000,P1,exp200219_P1_D05,BPH2980,2,VAN-216
D06,13809,18,D,06,exp200219,40000,P1,exp200219_P1_D06,BPH2982,3,VAN-216
D07,13708,18,D,07,exp200219,40000,P1,exp200219_P1_D07,BPH2730,2,VAN-024
D08,13952,18,D,08,exp200219,40000,P1,exp200219_P1_D08,BPH2704,3,VAN-004
D09,13809,18,D,09,exp200219,40000,P1,exp200219_P1_D09,BPH2705,3,VAN-004
