"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2744","exp190831_2_F10",104.830062464214,798,0.872093164858286,126,-0.0427945819298959,396,0.00232671132367005,297.908543061803,0.766352156246015,1152,"exp190831","F10","F",10,40000,"2",2,"VAN-034",0.0747178329364383,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2745","exp190831_2_A12",61.5742911069173,1152,0.616658459537235,96,-0.0265441136263185,264,0.00102895600900384,691.852423755063,0.616658459537235,1152,"exp190831","A12","A",11,40000,"2",2,"VAN-035",0.0970398963048853,FALSE,FALSE,FALSE,0,0,0,FALSE,"72",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2746","exp190831_2_C08",97.3621242475902,984,0.922547854564459,84,-0.0490501082041545,318,0.00225600255319062,307.245742953456,0.922547854564459,1152,"exp190831","C08","C",9,40000,"2",2,"VAN-037",0.0863885636038672,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2747","exp190831_2_A09",46.9307999012752,1152,0.745443767397916,162,-0.0383186376499175,837,0.00135772608012674,511.735149782564,0.745443767397916,1152,"exp190831","A09","A",9,40000,"2",2,"VAN-038",0.067418175070995,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2748","exp190831_2_E03",57.0733915185217,1152,0.766727519072237,156,0.0108767366131689,792,0.00145763734831619,475.527867998611,0.766727519072237,1152,"exp190831","E03","E",3,40000,"2",2,"VAN-038",0.0548505928648214,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,NA,0,TRUE,0,2,FALSE,0,NA,8,"paired-colonising",NA
"BPH2749","exp190831_2_C06",168.224672745328,705,1.52947572865928,141,-0.0346835133283287,417,0.0052083703014237,136.113704581684,1.06446744073196,1152,"exp190831","C06","C",6,40000,"2",2,"VAN-039",0.0548288164751105,FALSE,FALSE,FALSE,0,0,0,FALSE,"20",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2750","exp190831_2_A01",57.2390100436137,1152,0.609455800265318,138,-0.00258952701312933,642,0.000949171077295734,730.265804700643,0.609455800265318,1152,"exp190831","A01","A",3,40000,"2",2,"VAN-040",0.095750527812798,FALSE,FALSE,FALSE,0,0,0,FALSE,"39",0,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2751","exp190831_2_B10",94.7151209347046,1095,0.959979696967618,114,-0.0291914023450925,546,0.00177726036954298,454.555329703032,0.762275607115622,1152,"exp190831","B10","B",10,40000,"2",2,"VAN-040",0.0877354872449528,FALSE,FALSE,FALSE,0,0,0,FALSE,"39",0,NA,0,TRUE,0,1,FALSE,0.5,"Relapse (on treatment)",4,"paired-invasive","prfA"
"BPH2752","exp190831_2_B01",93.5225199608621,906,0.782187070670557,120,-0.00420367236690504,426,0.00167582808070242,413.614730855574,0.76654469339149,1152,"exp190831","B01","B",3,40000,"2",2,"VAN-041",0.0679702017814855,FALSE,FALSE,FALSE,0,0,0,FALSE,"30",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2753","exp190831_2_B05",120.187494441846,1152,1.8034839071563,117,-0.0137849089972595,819,0.00290433085875794,238.706724030012,1.8034839071563,1152,"exp190831","B05","B",2,40000,"2",2,"VAN-042",0.0660611754450823,FALSE,FALSE,FALSE,0,0,0,FALSE,"121",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2754","exp190831_2_F05",151.051436166459,1113,1.19875082548492,57,-0.0558340260212727,327,0.00353618038001317,285.267978298638,1.18636530781197,1152,"exp190831","F05","F",5,40000,"2",2,"VAN-043",0.0441108501594799,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2755","exp190831_2_A08",139.244825904665,1152,1.29204522180857,42,-0.0269239881112987,330,0.00257028287654902,280.316293093503,1.29204522180857,1152,"exp190831","A08","A",8,40000,"2",2,"VAN-043",0.0816636868366674,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,NA,0,TRUE,0,0,FALSE,-0.25,"Persistent",3,"paired-invasive",NA
"BPH2756","exp191109_3_A03",135.190726445268,1152,1.34147686068006,99,-0.0429539575801678,354,0.00239122143728647,289.959677403597,1.34147686068006,1152,"exp191109","A03","A",7,40000,"3",2,"VAN-044",0.0166626395332425,FALSE,FALSE,FALSE,0,0,0,FALSE,"567",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2757","exp191109_3_C10",116.108467126533,1152,1.26325476323068,117,-0.0411155087762966,360,0.00209515228303888,336.765693482456,1.26325476323068,1152,"exp191109","C10","C",9,40000,"3",2,"VAN-045",0.0501248933229156,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
