"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2731","exp190831_2_E08",16.4303720573114,1119,0.180575456896369,171,-0.051058745847583,350,0.00071282320029629,987.596781041432,0.179990006961373,1152,"exp190831","E08","E",8,40000,"2",2,"VAN-025",0.0755868907376801,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2732","exp190831_2_A07",181.417882257757,596,1.46132099753098,57,-0.0422791393273662,316,0.00539895928055736,134.825891448874,1.02205038670913,1152,"exp190831","A07","A",7.33333333333333,40000,"2",2,"VAN-026",0.0768028001631547,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2733","exp190831_2_D09",187.268446107376,547,1.56476326052585,58,-0.0777908421178847,302,0.00638673727634012,109.20043251203,0.935424246120277,1152,"exp190831","D09","D",9,40000,"2",2,"VAN-026",0.0448676417695257,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,NA,0,TRUE,0,0,FALSE,0,"Relapse (on treatment)",4,"paired-invasive",NA
"BPH2734","exp190831_2_A11",9.30409537247135,1145,0.116560685414343,144,-0.0120768105211122,451,0.000227284774865447,3711.1063319952,0.116499341367352,1152,"exp190831","A11","A",6,40000,"2",2,"VAN-026",0.0851166204572163,FALSE,FALSE,FALSE,0,0,0,FALSE,"34",0,NA,0,FALSE,1,NA,FALSE,0,NA,-58,"paired-colonising",NA
"BPH2735","exp190831_2_D04",48.8737374185534,1052,0.536680206498926,146,-0.0380712814879101,632,0.0010093830426141,693.484002213354,0.520514102251054,1152,"exp190831","D04","D",6,40000,"2",2,"VAN-027",0.084295194940232,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2736","exp190831_2_C07",59.7257210021189,602,0.46285227705137,94,-0.0431837925561637,290,0.00210789632855058,335.179871346484,0.385290899686426,1152,"exp190831","C07","C",7.33333333333333,40000,"2",2,"VAN-028",0.0732069853408199,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2737","exp190831_2_C02",12.4603606007163,1116,0.113956840794563,139,0.0117119688396855,271,0.000218281002961993,3242.88236443344,0.113094740042698,1152,"exp190831","C02","C",2.66666666666667,40000,"2",2,"VAN-029",0.0776787833766327,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2738","exp190831_2_B08",2.68132362127177,576,0.0644601386406855,186,-0.0238187264349756,514,0.000159302398846823,5362.5821597733,0.0555894653104097,1152,"exp190831","B08","B",6.66666666666667,40000,"2",2,"VAN-029",0.0675128157148898,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,NA,0,TRUE,0,1,TRUE,0.5,"Relapse (after treatment)",18,"paired-invasive","stp"
"BPH2739","exp190831_2_A04",18.3430481639485,1039,0.186055338616929,132,-0.0444864321411934,289,0.00056957412856373,1326.50247280243,0.176413733279713,1152,"exp190831","A04","A",7.66666666666667,40000,"2",2,"VAN-030",0.0777998072922739,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2740","exp190831_2_A02",81.8595633099604,1152,0.839817178923086,130,-0.0174438144810876,332,0.00182732552309149,398.144805998886,0.839817178923086,1152,"exp190831","A02","A",6,40000,"2",2,"VAN-030",0.0791393116229044,FALSE,FALSE,FALSE,0,0,0,FALSE,"12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA
"BPH2741","exp190831_2_B11",103.61948463194,1152,1.13058799700722,98,-0.0131288920527308,464,0.00157875653341762,540.512160509218,1.13058799700722,1152,"exp190831","B11","B",5.66666666666667,40000,"2",2,"VAN-031",0.0666825093219526,FALSE,FALSE,FALSE,0,0,0,FALSE,"109",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2742","exp190831_2_A06",17.8256541189273,1092,0.180654082268142,150,-0.0273118813742821,324,0.000529023658734324,1782.50636805326,0.1775352563927,1152,"exp190831","A06","A",7,40000,"2",2,"VAN-032",0.0666600147833397,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2743","exp190831_2_F03",127.040653889792,1152,1.14397013536781,77,-0.0308409621025977,424,0.00272162096141035,364.191130822918,1.14397013536781,1152,"exp190831","F03","F",5.33333333333333,40000,"2",2,"VAN-033",0.0547535493820825,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2744","exp190831_2_F10",106.321544458948,816,0.974478519255041,130.8,-0.032284869217737,422.4,0.00289474359102307,277.233946935047,0.796002173010984,1152,"exp190831","F10","F",9.6,40000,"2",1.8,"VAN-034",0.0747178329364383,FALSE,FALSE,FALSE,0,0,0.00103626943005181,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2745","exp190831_2_A12",58.6106128385491,1152,0.597045771248781,98,0.00105551301210763,262,0.000973116765799867,768.767499357691,0.597045771248781,1152,"exp190831","A12","A",10.3333333333333,40000,"2",2,"VAN-035",0.0970398963048853,FALSE,FALSE,FALSE,0,0,0,FALSE,"72",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2746","exp190831_2_C08",100.398037788449,1002,0.95515963970619,94.8,-0.0440195695128602,403.2,0.00226769331212643,328.325823899735,0.935821114411004,1152,"exp190831","C08","C",9.2,40000,"2",1.8,"VAN-037",0.0863885636038672,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2747","exp190831_2_A09",49.9267787066417,1131,0.742560284056357,153,-0.0356576141158609,824,0.00145163471207025,521.989596427084,0.73914341702356,1152,"exp190831","A09","A",7.66666666666667,40000,"2",2,"VAN-038",0.067418175070995,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2748","exp190831_2_E03",56.5214561101801,1124.4,0.771130134214644,157.2,-0.00687350194393625,808.8,0.00161620575304853,458.942825943146,0.768539648244497,1152,"exp190831","E03","E",4.4,40000,"2",1.8,"VAN-038",0.0548505928648214,FALSE,FALSE,FALSE,0,0.00310880829015544,0.00829015544041451,FALSE,"239",1,NA,0,TRUE,0,2,FALSE,0,NA,8,"paired-colonising",NA
"BPH2749","exp190831_2_C06",166.956077481871,712,1.51644355053836,138,-0.0337713029139429,424,0.00527956996426439,138.463768008426,1.06357739902786,1152,"exp190831","C06","C",4.66666666666667,40000,"2",2,"VAN-039",0.0548288164751105,FALSE,FALSE,FALSE,0,0,0,FALSE,"20",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2750","exp190831_2_A01",57.0037730832377,1152,0.630528044049702,138,0.0158054968322921,632,0.00102579067892703,697.369177673384,0.630528044049702,1152,"exp190831","A01","A",2.66666666666667,40000,"2",2,"VAN-040",0.095750527812798,FALSE,FALSE,FALSE,0,0,0,FALSE,"39",0,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2751","exp190831_2_B10",97.0675052843255,989,0.931400683666544,118,-0.0218016593849847,494,0.00206665016446077,469.187030094743,0.801812165508684,1152,"exp190831","B10","B",8,40000,"2",2,"VAN-040",0.0877354872449528,FALSE,FALSE,FALSE,0,0,0,FALSE,"39",0,NA,0,TRUE,0,1,FALSE,0.5,"Relapse (on treatment)",4,"paired-invasive","prfA"
"BPH2752","exp190831_2_B01",87.9631359229931,895.2,0.729183535422204,105.6,-0.00325555829976061,386.4,0.00182290159873134,400.711603869443,0.690863057136134,1152,"exp190831","B01","B",2.6,40000,"2",2.2,"VAN-041",0.0679702017814855,FALSE,FALSE,FALSE,0,0.00103626943005181,0,FALSE,"30",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2753","exp190831_2_B05",120.78601596692,1152,1.7871804684696,106,-0.00374430811899966,792,0.00290677755650332,239.598839321222,1.7871804684696,1152,"exp190831","B05","B",2.66666666666667,40000,"2",2,"VAN-042",0.0660611754450823,FALSE,FALSE,FALSE,0,0,0,FALSE,"121",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2754","exp190831_2_F05",147.493370072013,1094,1.1681946079063,57,-0.0712396847528374,336,0.00353074102846291,317.031278164336,1.1621194240371,1152,"exp190831","F05","F",5.33333333333333,40000,"2",2,"VAN-043",0.0441108501594799,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2755","exp190831_2_A08",145.942392024466,1132,1.32634552317497,48,-0.00801425464531491,337,0.00269654359653119,285.434312429764,1.32446103072735,1152,"exp190831","A08","A",7,40000,"2",2,"VAN-043",0.0816636868366674,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,NA,0,TRUE,0,0,FALSE,-0.25,"Persistent",3,"paired-invasive",NA
"BPH2756","exp191109_3_A03",129.307153038276,1152,1.43167104713346,97,-0.0407640872426144,494,0.00233177034118152,301.287440318373,1.43167104713346,1152,"exp191109","A03","A",7,40000,"3",2,"VAN-044",0.0166626395332425,FALSE,FALSE,FALSE,0,0.00431778929188256,0.00172711571675302,FALSE,"567",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2757","exp191109_3_C10",109.029589404148,1152,1.26458381143444,103,-0.030516531077815,481,0.00208713213598924,364.445424822237,1.26458381143444,1152,"exp191109","C10","C",8.66666666666667,40000,"3",2,"VAN-045",0.0501248933229156,FALSE,FALSE,FALSE,0,0,0.00431778929188256,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2758","exp191109_3_B02",46.2665018749064,1152,0.65759485642198,164,-0.0263401075070434,850,0.00108094334740208,669.609020354662,0.65759485642198,1152,"exp191109","B02","B",2.66666666666667,40000,"3",2,"VAN-046",0.094158196941325,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2759","exp191109_3_E08",134.192469411893,1051.5,1.31643073641466,126,-0.0670095474635795,475.5,0.00309150107906323,226.362697210114,1.30574909948401,1152,"exp191109","E08","E",8,40000,"3",1.75,"VAN-047",0.0365277050312893,FALSE,FALSE,FALSE,0,0,0,FALSE,"30",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2760","exp191109_3_A07",84.720577647974,961,0.655226916333793,72,-0.00464879243046017,329,0.00208426392310443,592.455273762983,0.63350132695197,1152,"exp191109","A07","A",7.33333333333333,40000,"3",2,"VAN-048",0.0425128917646069,FALSE,FALSE,FALSE,0,0,0.00518134715025907,FALSE,"1",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2761","exp191109_3_D09",50.537277053295,1108,0.552270712589468,133,-0.0586282130994792,443,0.00111986270406079,695.357201675566,0.54860352451976,1152,"exp191109","D09","D",9,40000,"3",2,"VAN-049",0.0426141562376394,FALSE,FALSE,FALSE,0,0.0181347150259067,0,FALSE,"30",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2762","exp191109_3_A11",101.097229599514,1152,1.19032600644386,106.5,0.0160222962653755,421.5,0.00148710089822682,468.974346838352,1.19032600644386,1152,"exp191109","A11","A",7.25,40000,"3",2.25,"VAN-049",0.316891465807344,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2763","exp191109_3_D04",15.6983746835131,847.333333333333,0.188976912020757,152.666666666667,-0.0650227334552749,334.666666666667,0.000828481623670261,1276.43229998021,0.0821696037950029,1152,"exp191109","D04","D",6.44444444444444,40000,"3",2,"VAN-050",0.0362722815496705,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2764","exp191109_3_G10",162.30020288889,786,1.39696552244871,77,-0.0168106034310165,365,0.00411062279751274,182.341843201879,1.10499022530197,1152,"exp191109","G10","G",8.33333333333333,40000,"3",2,"VAN-050",0.136870391809909,FALSE,FALSE,FALSE,0,0.0129533678756477,0.0164075993091537,FALSE,"78",1,NA,0,TRUE,0,29,FALSE,0,NA,-3,"paired-colonising","hypothetical protein / superantigen-like protein / accB_1 / grsB / Transcriptional regulator / cydD / pepT_2 / yveA / pbuE / Putative esterase / Replication initiation and membrane attachment"
"BPH2765","exp191109_3_C02",40.7902512212779,1152,0.518113929290528,180,-0.0162876215211393,627,0.000846322815444181,844.741753660367,0.518113929290528,1152,"exp191109","C02","C",2.66666666666667,40000,"3",2,"VAN-051",0.0650194952930174,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2766","exp191109_3_B08",49.3886787013158,1152,0.651285649621079,184.8,-0.0651791569209704,595.2,0.00132048113854635,551.300183660167,0.651285649621079,1152,"exp191109","B08","B",7,40000,"3",2,"VAN-052",0.0429626140827129,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2767","exp191109_3_A04",111.754724914583,1046,1.04555881816951,86,-0.0588314194522196,288,0.00235822987221192,309.147207017296,1.00924485122973,1152,"exp191109","A04","A",7.66666666666667,40000,"3",2,"VAN-053",0.0183199929833229,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2768","exp191109_3_A02",114.74952950083,957.6,0.971668580776637,85.2,-0.0288453908373043,355.2,0.00251443210444808,280.951233769705,0.93445368697135,1152,"exp191109","A02","A",6.8,40000,"3",1.8,"VAN-054",0.0343004171409487,FALSE,FALSE,FALSE,0,0.00621761658031088,0.0113989637305699,FALSE,"30",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
