"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST.x","mecA.x","mortality.x","intrahost_index.x","included.x","unrelated_to_index.x","mut_count.x","scv.x","vanco_difference.x","persister_type.x","intrahost_sampledelay.x","sample_type.x","genes.x","strain_group","ST.y","mecA.y","mortality.y","intrahost_index.y","included.y","unrelated_to_index.y","mut_count.y","scv.y","vanco_difference.y","persister_type.y","intrahost_sampledelay.y","sample_type.y","genes.y"
"BPH2703","exp191115_1_E08",39.1305233195278,1152,0.791472189728829,198,-0.0943013007833006,732,0.00139786401101983,495.861668299372,0.791472189728829,1152,"exp191115","E08","E",8,40000,"1",2,"VAN-003",0.0325245087141762,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191115_1_F08",33.4937379910919,1152,0.741986068757663,210,-0.121168582422556,756,0.00127750284640768,542.57975433015,0.741986068757663,1152,"exp191115","F08","F",8,40000,"1",3,"VAN-003",0.0325245087141762,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191115_1_E11",89.6577957309334,1152,0.931973407053161,186,-0.0737492397340821,474,0.00231118954386316,299.909275031311,0.931973407053161,1152,"exp191115","E11","E",11,40000,"1",1,"VAN-004",0.0569460748564595,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2704","exp191116_1_H04",70.0937850402498,1152,0.781300963701666,156,-0.0115845172526001,570,0.00142806487960661,485.375132781702,0.781300963701666,1152,"exp191116","H04","H",4,40000,"1",3,"VAN-004",0.0569460748564595,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2704","exp191116_1_E11",74.4691058587713,1152,0.815376631146744,180,-0.0089938035669474,552,0.00168098017996517,412.347027538603,0.815376631146744,1152,"exp191116","E11","E",11,40000,"1",1,"VAN-004",0.0569460748564595,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2704","exp191115_1_H04",64.054759962686,1152,0.673320315946113,180,-0.0403613667189944,468,0.00145588316842756,476.100827038604,0.673320315946113,1152,"exp191115","H04","H",4,40000,"1",3,"VAN-004",0.0569460748564595,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2704","exp191116_1_A07",90.3182673256396,1152,0.963702377253856,138,-0.0134617669527353,510,0.00166469617192603,416.380593798077,0.963702377253856,1152,"exp191116","A07","A",7,40000,"1",2,"VAN-004",0.0569460748564595,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2704","exp191115_1_A07",112.546985326075,1152,1.04713975769364,120,-0.0137779719584461,372,0.00215779794416335,321.228955859768,1.04713975769364,1152,"exp191115","A07","A",7,40000,"1",2,"VAN-004",0.0569460748564595,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191115_1_D09",112.315248394463,972,1.05211906276831,162,-0.0752685263842808,426,0.00287618196424025,240.995593873366,1.0212857109442,1152,"exp191115","D09","D",9,40000,"1",3,"VAN-004",0.0632171453236028,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2705","exp191116_1_D09",121.094895975615,996,1.18039336808543,162,-0.0590754176333248,480,0.00290283378734085,238.782938100946,1.15706658606216,1152,"exp191116","D09","D",9,40000,"1",3,"VAN-004",0.0632171453236028,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2705","exp191116_1_F09",136.885603256269,924,1.27080987611703,144,-0.0658382549317821,456,0.00314535812632145,220.371465735316,1.20664049619378,1152,"exp191116","F09","F",9,40000,"1",1,"VAN-004",0.0632171453236028,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2705","exp191116_1_E09",146.846129972637,912,1.37338053554135,144,-0.0705235594698603,462,0.00345911819969258,200.382623704951,1.30350506576131,1152,"exp191116","E09","E",9,40000,"1",2,"VAN-004",0.0632171453236028,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
