well_id,AUC,time_of_max_death,max_death,time_of_min_death,min_death,time_of_max_death_rate,max_death_rate,time_of_min_death_rate,min_death_rate,experiment,well,well_row,well_col,cell_number,plate,sample_id,replicate,strain_group,ST,mecA,mortality,intrahost_index,included,unrelated_to_index,mut_count,scv,vanco_difference,persister_type,intrahost_sampledelay,sample_type,genes
exp191120_4_G07,56.65189273380565,1152,0.8814707954739143,270,0.03499738303278059,942,0.0014818581058103953,0,-0.0014714917766917093,exp191120,G07,G,07,40000,4,BPH2795,1,VAN-079,291,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_G08,57.82024107808947,1140,0.4516156626682203,180,0.10351405411373056,318,8.44155327392975e-4,0,-0.0016313020293303032,exp191120,G08,G,08,40000,4,BPH2788,1,VAN-072,15,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_G09,165.3180402248538,1152,1.1281468813990798,108,0.3488085357642959,330,0.002145297405144522,0,-0.0011995507580047499,exp191120,G09,G,09,40000,4,BPH2801,1,VAN-083,59,0,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA
exp191120_4_G10,40.476332362707474,1152,0.4035320133776753,222,0.07961529072524184,1008,4.690931146696254e-4,0,-0.0016966037932344413,exp191120,G10,G,10,40000,4,BPH2793,2,VAN-077,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_G11,70.0854608248214,1152,1.0261666467205641,276,0.06700221236669028,894,0.0017777711145019008,0,-0.0013874361898799994,exp191120,G11,G,11,40000,4,BPH2785,3,VAN-069,-,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H01,42.621250084656424,0,0.35370590289821785,324,0.18451453498014456,1008,3.3897711574556376e-4,0,-0.0013395431906138844,exp191120,H01,H,01,40000,4,TOX-4,2,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H02,49.77324439629713,1152,0.4751848952296696,222,0.0951946293628759,384,5.962617492958356e-4,0,-0.0011781158734957206,exp191120,H02,H,02,40000,4,BPH2794,3,VAN-078,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H03,162.02803548455395,642,1.1453988285006504,108,0.19762281011626903,324,0.0033337949090783644,0,-0.0010318319910151696,exp191120,H03,H,03,40000,4,BPH2787,2,VAN-071,239,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H04,35.872722963370016,1152,0.4009609489627744,234,0.08643907562185632,936,6.070667179785596e-4,0,-9.992198456503856e-4,exp191120,H04,H,04,40000,4,BPH2789,3,VAN-073,109,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H05,69.81181011716353,1152,0.7524937467729235,180,0.03714406987867751,384,0.0012504939953951917,0,-0.0013891976079616827,exp191120,H05,H,05,40000,4,BPH2793,3,VAN-077,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
