sample_id,strain_group,plate
BPH3362,VSS-163,GP4
BPH3366,VSS-167,GP4
BPH3368,VSS-171,GP4
BPH3370,VSS-173,GP4
BPH3372,VSS-175,GP4
BPH3376,VSS-179,GP4
BPH3381,VSS-184,GP4
BPH3738,VSS-184,GP4
BPH3382,VSS-185,GP4
BPH3389,VSS-192,GP4
BPH3739,VSS-193,GP4
BPH3401,VSS-205,GP4
BPH3741,VSS-205,GP4
BPH3742,VSS-205,GP4
BPH3743,VSS-205,GP4
BPH3744,VSS-205,GP4
BPH3403,VSS-207,GP4
BPH3413,VSS-217,GP4
BPH3415,VSS-219,GP4
BPH3417,VSS-221,GP4
BPH3745,VSS-221,GP4
BPH3746,VSS-227,GP4
BPH3431,VSS-235,GP4
BPH3748,VSS-237,GP4
BPH3434,VSS-238,GP4
BPH3435,VSS-239,GP4
BPH3437,VSS-241,GP5
BPH3749,VSS-241,GP5
BPH3439,VSS-243,GP5
BPH3443,VSS-247,GP5
BPH3750,VSS-257,GP5
BPH3457,VSS-261,GP5
BPH3459,VSS-263,GP5
BPH3460,VSS-264,GP5
BPH3462,VSS-266,GP5
BPH3463,VSS-267,GP5
BPH3465,VSS-269,GP5
BPH3469,VSS-273,GP5
BPH3751,VSS-275,GP5
BPH3473,VSS-277,GP5
BPH3477,VSS-281,GP5
BPH3479,VSS-283,GP5
BPH3481,VSS-285,GP5
BPH3482,VSS-286,GP5
BPH3485,VSS-289,GP5
BPH3489,VSS-293,GP5
BPH3493,VSS-297,GP5
BPH3499,VSS-303,GP5
BPH3501,VSS-305,GP5
BPH3508,VSS-312,GP5
BPH3511,VSS-315,GP5
BPH3523,VSS-327,GP5
BPH3524,VSS-328,GP5
BPH3527,VSS-331,GP5
BPH3529,VSS-333,GP6
BPH3545,VSS-349,GP6
BPH3547,VSS-351,GP6
BPH3548,VSS-352,GP6
BPH3568,VSS-375,GP6
BPH3584,VSS-393,GP6
BPH3588,VSS-397,GP6
BPH3590,VSS-399,GP6
BPH3596,VSS-411,GP6
BPH3602,VSS-417,GP6
BPH3612,VSS-431,GP6
BPH3628,VSS-447,GP6
BPH3632,VSS-451,GP6
BPH3634,VSS-453,GP6
BPH3636,VSS-455,GP6
BPH3638,VSS-457,GP6
BPH3640,VSS-459,GP6
BPH3643,VSS-462,GP6
BPH3648,VSS-467,GP6
BPH3650,VSS-469,GP6
BPH3652,VSS-471,GP6
BPH3658,VSS-477,GP6
BPH3660,VSS-479,GP6
BPH3662,VSS-481,GP6
BPH3664,VSS-483,GP6
BPH3666,VSS-485,GP6
BPH3668,VSS-487,GP6
BPH3670,VSS-489,GP6
BPH3672,VSS-491,GP7
BPH3674,VSS-493,GP7
BPH3753,VSS-493,GP7
BPH3682,VSS-505,GP7
BPH3684,VSS-507,GP7
BPH3686,VSS-509,GP7
BPH3688,VSS-511,GP7
BPH3754,VSS-515,GP7
BPH3692,VSS-521,GP7
BPH3694,VSS-525,GP7
BPH3755,VSS-525,GP7
BPH3696,VSS-529,GP7
BPH3700,VSS-533,GP7
BPH3702,VSS-535,GP7
BPH3704,VSS-539,GP7
BPH3710,VSS-545,GP7
