well,sample_id,replicate,plate_number,plan
B12,BPH3632,2,GP6,1
B12,BPH3710,2,GP7,1
C01,BPH2803,2,GP1,1
C01,BPH2947,2,GP2,1
C01,BPH3260,2,GP3,1
C01,BPH3376,2,GP4,1
C01,BPH3462,2,GP5,1
C01,BPH3588,2,GP6,1
C01,BPH3692,2,GP7,1
C02,BPH2869,1,GP1,1
C02,BPH2953,1,GP2,1
C02,BPH3270,1,GP3,1
C02,BPH3389,1,GP4,1
C02,BPH3469,1,GP5,1
C02,BPH3602,1,GP6,1
C02,BPH3700,1,GP7,1
C03,BPH2898,3,GP1,1
C03,BPH2991,3,GP2,1
C03,BPH3346,3,GP3,1
C03,BPH3742,3,GP4,1
C03,BPH3523,3,GP5,1
C03,BPH3660,3,GP6,1
C03,Non infected,3,GP7,1
C04,JE2,3,GP1,1
C04,BPH3204,3,GP2,1
C04,BPH3352,3,GP3,1
C04,BPH3744,3,GP4,1
C04,BPH3527,3,GP5,1
C04,BPH3664,3,GP6,1
C04,Non infected,3,GP7,1
C05,BPH2877,1,GP1,1
C05,BPH2964,1,GP2,1
C05,BPH3284,1,GP3,1
C05,BPH3415,1,GP4,1
C05,BPH3481,1,GP5,1
C05,BPH3634,1,GP6,1
C05,BPH3753,1,GP7,1
C06,BPH2897,3,GP1,1
C06,BPH2990,3,GP2,1
C06,BPH3340,3,GP3,1
C06,BPH3741,3,GP4,1
C06,BPH3511,3,GP5,1
C06,BPH3658,3,GP6,1
C06,JE2,1,GP7,2
C07,BPH2808,1,GP1,1
C07,BPH2952,1,GP2,1
C07,BPH3268,1,GP3,1
C07,BPH3382,1,GP4,1
C07,BPH3465,1,GP5,1
C07,BPH3596,1,GP6,1
C07,BPH3696,1,GP7,1
C08,BPH2888,1,GP1,1
C08,BPH2987,1,GP2,1
C08,BPH3320,1,GP3,1
C08,BPH3737,1,GP4,1
C08,BPH3499,1,GP5,1
C08,BPH3648,1,GP6,1
C08,TOX-4,1,GP7,1
C09,BPH2888,2,GP1,1
C09,BPH2987,2,GP2,1
C09,BPH3320,2,GP3,1
C09,BPH3737,2,GP4,1
C09,BPH3499,2,GP5,1
C09,BPH3648,2,GP6,1
C09,TOX-4,2,GP7,1
C10,BPH2798,3,GP1,1
C10,BPH2923,3,GP2,1
C10,BPH3236,3,GP3,1
C10,BPH3362,3,GP4,1
C10,BPH3439,3,GP5,1
C10,BPH3545,3,GP6,1
C10,BPH3674,3,GP7,1
C11,BPH2890,1,GP1,1
C11,BPH2988,1,GP2,1
C11,BPH3332,1,GP3,1
C11,BPH3738,1,GP4,1
C11,BPH3501,1,GP5,1
C11,BPH3650,1,GP6,1
C11,NE1354,3,GP7,2
C12,Non infected,2,GP1,1
C12,TOX-4,2,GP2,1
C12,Non infected,2,GP3,1
C12,TOX-4,2,GP4,1
C12,TOX-4,2,GP5,1
C12,TOX-4,2,GP6,1
C12,NE1354,4,GP7,2
D01,Non infected,3,GP1,1
D01,BPH3220,3,GP2,1
D01,JE2,3,GP3,1
D01,BPH3748,3,GP4,1
D01,BPH3751,3,GP5,1
D01,BPH3670,3,GP6,1
D01,Non infected,3,GP7,1
D02,BPH2907,2,GP1,1
D02,BPH3202,2,GP2,1
D02,BPH3348,2,GP3,1
D02,BPH3743,2,GP4,1
D02,BPH3524,2,GP5,1
D02,BPH3662,2,GP6,1
D02,Non infected,2,GP7,1
D03,BPH2890,3,GP1,1
D03,BPH2988,3,GP2,1
D03,BPH3332,3,GP3,1
D03,BPH3738,3,GP4,1
D03,BPH3501,3,GP5,1
D03,BPH3650,3,GP6,1
D03,NEB agrA,2,GP7,2
D04,BPH2807,3,GP1,1
D04,BPH2948,3,GP2,1
D04,BPH3262,3,GP3,1
D04,BPH3381,3,GP4,1
D04,BPH3463,3,GP5,1
D04,BPH3590,3,GP6,1
D04,BPH3694,3,GP7,1
D05,BPH2872,2,GP1,1
D05,BPH2959,2,GP2,1
D05,BPH3272,2,GP3,1
D05,BPH3401,2,GP4,1
D05,BPH3473,2,GP5,1
D05,BPH3612,2,GP6,1
