well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
F05,17044,0,F,05,exp191129,40000,5,exp191129_5_F05,BPH2839,2,VAN-110
F06,16774,0,F,06,exp191129,40000,5,exp191129_5_F06,BPH2839,1,VAN-110
F07,16942,0,F,07,exp191129,40000,5,exp191129_5_F07,BPH2828,3,VAN-101
F08,16993,0,F,08,exp191129,40000,5,exp191129_5_F08,BPH2815,3,VAN-090
F09,16765,0,F,09,exp191129,40000,5,exp191129_5_F09,BPH2817,1,VAN-092
F10,16689,0,F,10,exp191129,40000,5,exp191129_5_F10,BPH2829,2,VAN-102
F11,17022,0,F,11,exp191129,40000,5,exp191129_5_F11,Blank,3,NA
F12,16529,0,F,12,exp191129,40000,5,exp191129_5_F12,Non infected,2,CONTROL
G01,16997,0,G,01,exp191129,40000,5,exp191129_5_G01,BPH2825,2,VAN-098
G02,16746,0,G,02,exp191129,40000,5,exp191129_5_G02,BPH2838,2,VAN-109
G03,16827,0,G,03,exp191129,40000,5,exp191129_5_G03,BPH2814,3,VAN-090
G04,16573,0,G,04,exp191129,40000,5,exp191129_5_G04,BPH2821,2,VAN-095
G05,17115,0,G,05,exp191129,40000,5,exp191129_5_G05,BPH2839,3,VAN-110
G06,17102,0,G,06,exp191129,40000,5,exp191129_5_G06,BPH2828,1,VAN-101
G07,16439,0,G,07,exp191129,40000,5,exp191129_5_G07,BPH2822,1,VAN-096
G08,16377,0,G,08,exp191129,40000,5,exp191129_5_G08,BPH2815,1,VAN-090
G09,16878,0,G,09,exp191129,40000,5,exp191129_5_G09,BPH2829,1,VAN-102
G10,16350,0,G,10,exp191129,40000,5,exp191129_5_G10,BPH2820,2,VAN-094
G11,16379,0,G,11,exp191129,40000,5,exp191129_5_G11,BPH2812,3,VAN-090
G12,16938,0,G,12,exp191129,40000,5,exp191129_5_G12,BPH2831,3,VAN-104
H01,16528,0,H,01,exp191129,40000,5,exp191129_5_H01,TOX-4,2,CONTROL
H02,17092,0,H,02,exp191129,40000,5,exp191129_5_H02,BPH2821,3,VAN-095
H03,16852,0,H,03,exp191129,40000,5,exp191129_5_H03,BPH2814,2,VAN-090
H04,16081,0,H,04,exp191129,40000,5,exp191129_5_H04,BPH2816,3,VAN-091
H05,16996,0,H,05,exp191129,40000,5,exp191129_5_H05,BPH2820,3,VAN-094
H06,15860,0,H,06,exp191129,40000,5,exp191129_5_H06,BPH2818,1,VAN-093
H07,16784,0,H,07,exp191129,40000,5,exp191129_5_H07,BPH2813,2,VAN-090
H08,16461,0,H,08,exp191129,40000,5,exp191129_5_H08,BPH2830,2,VAN-103
H09,16810,0,H,09,exp191129,40000,5,exp191129_5_H09,BPH2813,1,VAN-090
H10,31103,0,H,10,exp191129,40000,5,exp191129_5_H10,Complete lysis,1,CONTROL
H11,31304,0,H,11,exp191129,40000,5,exp191129_5_H11,Complete lysis,2,CONTROL
H12,31194,0,H,12,exp191129,40000,5,exp191129_5_H12,Complete lysis,3,CONTROL
A01,15444,6,A,01,exp191129,40000,5,exp191129_5_A01,BPH2835,2,VAN-106
A02,15976,6,A,02,exp191129,40000,5,exp191129_5_A02,BPH2824,3,VAN-098
A03,16086,6,A,03,exp191129,40000,5,exp191129_5_A03,BPH2812,1,VAN-090
A04,16155,6,A,04,exp191129,40000,5,exp191129_5_A04,BPH2823,1,VAN-097
A05,16077,6,A,05,exp191129,40000,5,exp191129_5_A05,TOX-4,3,CONTROL
A06,16235,6,A,06,exp191129,40000,5,exp191129_5_A06,BPH2827,1,VAN-100
A07,16131,6,A,07,exp191129,40000,5,exp191129_5_A07,BPH2816,2,VAN-091
A08,16251,6,A,08,exp191129,40000,5,exp191129_5_A08,Non infected,1,CONTROL
A09,15832,6,A,09,exp191129,40000,5,exp191129_5_A09,BPH2832,2,VAN-104
A10,16370,6,A,10,exp191129,40000,5,exp191129_5_A10,BPH2829,3,VAN-102
A11,16193,6,A,11,exp191129,40000,5,exp191129_5_A11,BPH2818,3,VAN-093
A12,16528,6,A,12,exp191129,40000,5,exp191129_5_A12,BPH2830,3,VAN-103
B01,15887,6,B,01,exp191129,40000,5,exp191129_5_B01,BPH2837,2,VAN-108
B02,15767,6,B,02,exp191129,40000,5,exp191129_5_B02,BPH2814,1,VAN-090
B03,16688,6,B,03,exp191129,40000,5,exp191129_5_B03,BPH2837,1,VAN-108
B04,15897,6,B,04,exp191129,40000,5,exp191129_5_B04,BPH2824,1,VAN-098
B05,16642,6,B,05,exp191129,40000,5,exp191129_5_B05,BPH2838,3,VAN-109
B06,16579,6,B,06,exp191129,40000,5,exp191129_5_B06,JE2,3,CONTROL
B07,16959,6,B,07,exp191129,40000,5,exp191129_5_B07,BPH2827,2,VAN-100
B08,16413,6,B,08,exp191129,40000,5,exp191129_5_B08,BPH2822,3,VAN-096
B09,16201,6,B,09,exp191129,40000,5,exp191129_5_B09,BPH2823,2,VAN-097
B10,16102,6,B,10,exp191129,40000,5,exp191129_5_B10,BPH2836,1,VAN-107
B11,16289,6,B,11,exp191129,40000,5,exp191129_5_B11,BPH2825,3,VAN-098
B12,16362,6,B,12,exp191129,40000,5,exp191129_5_B12,BPH2824,2,VAN-098
C01,15783,6,C,01,exp191129,40000,5,exp191129_5_C01,BPH2818,2,VAN-093
C02,17038,6,C,02,exp191129,40000,5,exp191129_5_C02,BPH2821,1,VAN-095
C03,16729,6,C,03,exp191129,40000,5,exp191129_5_C03,BPH2835,3,VAN-106
C04,16115,6,C,04,exp191129,40000,5,exp191129_5_C04,BPH2837,3,VAN-108
C05,16204,6,C,05,exp191129,40000,5,exp191129_5_C05,BPH2825,1,VAN-098
C06,16564,6,C,06,exp191129,40000,5,exp191129_5_C06,BPH2834,3,VAN-105
C07,15939,6,C,07,exp191129,40000,5,exp191129_5_C07,BPH2820,1,VAN-094
C08,16573,6,C,08,exp191129,40000,5,exp191129_5_C08,BPH2831,1,VAN-104
C09,15961,6,C,09,exp191129,40000,5,exp191129_5_C09,BPH2831,2,VAN-104
C10,15699,6,C,10,exp191129,40000,5,exp191129_5_C10,BPH2813,3,VAN-090
C11,15893,6,C,11,exp191129,40000,5,exp191129_5_C11,BPH2832,1,VAN-104
C12,16030,6,C,12,exp191129,40000,5,exp191129_5_C12,Blank,2,NA
D01,15973,6,D,01,exp191129,40000,5,exp191129_5_D01,Non infected,3,CONTROL
D02,16504,6,D,02,exp191129,40000,5,exp191129_5_D02,BPH2836,2,VAN-107
D03,16526,6,D,03,exp191129,40000,5,exp191129_5_D03,BPH2832,3,VAN-104
D04,16168,6,D,04,exp191129,40000,5,exp191129_5_D04,BPH2819,3,VAN-094
D05,16232,6,D,05,exp191129,40000,5,exp191129_5_D05,BPH2822,2,VAN-096
D06,16554,6,D,06,exp191129,40000,5,exp191129_5_D06,JE2,2,CONTROL
D07,16311,6,D,07,exp191129,40000,5,exp191129_5_D07,BPH2812,2,VAN-090
D08,16065,6,D,08,exp191129,40000,5,exp191129_5_D08,BPH2827,3,VAN-100
D09,16063,6,D,09,exp191129,40000,5,exp191129_5_D09,BPH2817,3,VAN-092
D10,16044,6,D,10,exp191129,40000,5,exp191129_5_D10,BPH2819,1,VAN-094
D11,16288,6,D,11,exp191129,40000,5,exp191129_5_D11,BPH2830,1,VAN-103
D12,16007,6,D,12,exp191129,40000,5,exp191129_5_D12,BPH2836,3,VAN-107
E01,15529,6,E,01,exp191129,40000,5,exp191129_5_E01,Blank,1,NA
E02,16782,6,E,02,exp191129,40000,5,exp191129_5_E02,BPH2834,2,VAN-105
E03,16449,6,E,03,exp191129,40000,5,exp191129_5_E03,BPH2833,2,VAN-104
E04,16231,6,E,04,exp191129,40000,5,exp191129_5_E04,BPH2819,2,VAN-094
E05,16227,6,E,05,exp191129,40000,5,exp191129_5_E05,JE2,1,CONTROL
E06,15862,6,E,06,exp191129,40000,5,exp191129_5_E06,BPH2834,1,VAN-105
E07,15895,6,E,07,exp191129,40000,5,exp191129_5_E07,TOX-4,1,CONTROL
E08,15940,6,E,08,exp191129,40000,5,exp191129_5_E08,BPH2815,2,VAN-090
E09,16172,6,E,09,exp191129,40000,5,exp191129_5_E09,BPH2817,2,VAN-092
E10,15759,6,E,10,exp191129,40000,5,exp191129_5_E10,BPH2823,3,VAN-097
E11,16194,6,E,11,exp191129,40000,5,exp191129_5_E11,BPH2816,1,VAN-091
E12,16001,6,E,12,exp191129,40000,5,exp191129_5_E12,BPH2833,3,VAN-104
F01,16027,6,F,01,exp191129,40000,5,exp191129_5_F01,BPH2838,1,VAN-109
F02,15563,6,F,02,exp191129,40000,5,exp191129_5_F02,BPH2833,1,VAN-104
F03,16038,6,F,03,exp191129,40000,5,exp191129_5_F03,BPH2828,2,VAN-101
F04,15756,6,F,04,exp191129,40000,5,exp191129_5_F04,BPH2835,1,VAN-106
F05,16140,6,F,05,exp191129,40000,5,exp191129_5_F05,BPH2839,2,VAN-110
F06,15674,6,F,06,exp191129,40000,5,exp191129_5_F06,BPH2839,1,VAN-110
F07,16116,6,F,07,exp191129,40000,5,exp191129_5_F07,BPH2828,3,VAN-101
F08,15958,6,F,08,exp191129,40000,5,exp191129_5_F08,BPH2815,3,VAN-090
F09,15707,6,F,09,exp191129,40000,5,exp191129_5_F09,BPH2817,1,VAN-092
F10,15976,6,F,10,exp191129,40000,5,exp191129_5_F10,BPH2829,2,VAN-102
F11,15730,6,F,11,exp191129,40000,5,exp191129_5_F11,Blank,3,NA
F12,15612,6,F,12,exp191129,40000,5,exp191129_5_F12,Non infected,2,CONTROL
G01,16230,6,G,01,exp191129,40000,5,exp191129_5_G01,BPH2825,2,VAN-098
G02,15637,6,G,02,exp191129,40000,5,exp191129_5_G02,BPH2838,2,VAN-109
G03,15978,6,G,03,exp191129,40000,5,exp191129_5_G03,BPH2814,3,VAN-090
G04,15931,6,G,04,exp191129,40000,5,exp191129_5_G04,BPH2821,2,VAN-095
G05,16554,6,G,05,exp191129,40000,5,exp191129_5_G05,BPH2839,3,VAN-110
G06,16393,6,G,06,exp191129,40000,5,exp191129_5_G06,BPH2828,1,VAN-101
G07,15245,6,G,07,exp191129,40000,5,exp191129_5_G07,BPH2822,1,VAN-096
G08,15363,6,G,08,exp191129,40000,5,exp191129_5_G08,BPH2815,1,VAN-090
G09,15844,6,G,09,exp191129,40000,5,exp191129_5_G09,BPH2829,1,VAN-102
G10,15732,6,G,10,exp191129,40000,5,exp191129_5_G10,BPH2820,2,VAN-094
G11,15449,6,G,11,exp191129,40000,5,exp191129_5_G11,BPH2812,3,VAN-090
G12,16454,6,G,12,exp191129,40000,5,exp191129_5_G12,BPH2831,3,VAN-104
H01,15780,6,H,01,exp191129,40000,5,exp191129_5_H01,TOX-4,2,CONTROL
H02,16256,6,H,02,exp191129,40000,5,exp191129_5_H02,BPH2821,3,VAN-095
H03,15880,6,H,03,exp191129,40000,5,exp191129_5_H03,BPH2814,2,VAN-090
H04,15464,6,H,04,exp191129,40000,5,exp191129_5_H04,BPH2816,3,VAN-091
H05,16102,6,H,05,exp191129,40000,5,exp191129_5_H05,BPH2820,3,VAN-094
H06,15235,6,H,06,exp191129,40000,5,exp191129_5_H06,BPH2818,1,VAN-093
H07,15688,6,H,07,exp191129,40000,5,exp191129_5_H07,BPH2813,2,VAN-090
H08,15634,6,H,08,exp191129,40000,5,exp191129_5_H08,BPH2830,2,VAN-103
H09,16110,6,H,09,exp191129,40000,5,exp191129_5_H09,BPH2813,1,VAN-090
H10,34108,6,H,10,exp191129,40000,5,exp191129_5_H10,Complete lysis,1,CONTROL
H11,34287,6,H,11,exp191129,40000,5,exp191129_5_H11,Complete lysis,2,CONTROL
H12,33043,6,H,12,exp191129,40000,5,exp191129_5_H12,Complete lysis,3,CONTROL
A01,14856,12,A,01,exp191129,40000,5,exp191129_5_A01,BPH2835,2,VAN-106
A02,15091,12,A,02,exp191129,40000,5,exp191129_5_A02,BPH2824,3,VAN-098
A03,15426,12,A,03,exp191129,40000,5,exp191129_5_A03,BPH2812,1,VAN-090
A04,15466,12,A,04,exp191129,40000,5,exp191129_5_A04,BPH2823,1,VAN-097
